https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume RRT
1656806400000,2022-07-03 00:00:00,RRT/USD,0.77333,0.77333,0.77333,0.77333,73.94779740265339,95.62256398
1656720000000,2022-07-02 00:00:00,RRT/USD,0.77333,0.77333,0.77333,0.77333,203.59589597356688,263.27168993
1656633600000,2022-07-01 00:00:00,RRT/USD,0.77333,0.77333,0.77333,0.77333,9.279959999999999,12.0
1656547200000,2022-06-30 00:00:00,RRT/USD,0.77333,0.77333,0.77333,0.77333,38.2693987105842,49.48650474
1656460800000,2022-06-29 00:00:00,RRT/USD,0.77333,0.77333,0.77333,0.77333,5.905998543,7.6371
1656288000000,2022-06-27 00:00:00,RRT/USD,0.77333,0.77333,0.77333,0.77333,430.3504117,556.49
1656201600000,2022-06-26 00:00:00,RRT/USD,0.77333,0.77333,0.77333,0.77333,19.7791346626084,25.57657748
1656115200000,2022-06-25 00:00:00,RRT/USD,0.77333,0.77333,0.77333,0.77333,141.0409384623,182.38131
1656028800000,2022-06-24 00:00:00,RRT/USD,0.7735,0.7735,0.7735,0.7735,7.847157499999999,10.145
1655942400000,2022-06-23 00:00:00,RRT/USD,0.77825,0.77825,0.77333,0.77333,1698.2803665283204,2196.06166388
1655856000000,2022-06-22 00:00:00,RRT/USD,0.77,0.77,0.77,0.77,7.7,10.0
1655769600000,2022-06-21 00:00:00,RRT/USD,0.77,0.77,0.77,0.77,26.485593064699998,34.39687411
1655683200000,2022-06-20 00:00:00,RRT/USD,0.77,0.77,0.77,0.77,38.5,50.0
1655510400000,2022-06-18 00:00:00,RRT/USD,0.77,0.77,0.77,0.77,767.39677091,996.619183
1655424000000,2022-06-17 00:00:00,RRT/USD,0.77,0.77,0.77,0.77,785.3479349099999,1019.932383
1655337600000,2022-06-16 00:00:00,RRT/USD,0.77,0.77,0.77,0.77,761.8360196601,989.39742813
1655251200000,2022-06-15 00:00:00,RRT/USD,0.82265,0.82265,0.77,0.77,11006.877279459599,14294.64581748
1655078400000,2022-06-13 00:00:00,RRT/USD,0.77,0.77,0.77,0.77,4194.96589127,5448.007651
1654992000000,2022-06-12 00:00:00,RRT/USD,0.85114,0.85114,0.77,0.77,95.62204729,124.184477
1654905600000,2022-06-11 00:00:00,RRT/USD,0.77,0.77,0.77,0.77,603.51259353,783.7825889999999
1654732800000,2022-06-09 00:00:00,RRT/USD,0.77,0.77,0.77,0.77,131.9369918097,171.34674261
1654646400000,2022-06-08 00:00:00,RRT/USD,0.77,0.77,0.77,0.77,1694.0,2200.0
1654560000000,2022-06-07 00:00:00,RRT/USD,0.87,0.87,0.77,0.77,13.0263406966,16.91732558
1654387200000,2022-06-05 00:00:00,RRT/USD,0.85114,0.85114,0.77,0.77,366.92764877999997,476.529414
1654300800000,2022-06-04 00:00:00,RRT/USD,0.77,0.833,0.77,0.833,282.36053289941,338.96822677
1653868800000,2022-05-30 00:00:00,RRT/USD,0.77,0.77,0.77,0.77,109.09731448,141.684824
1653782400000,2022-05-29 00:00:00,RRT/USD,0.75,0.75,0.75,0.75,2121.2943237825,2828.39243171
1653696000000,2022-05-28 00:00:00,RRT/USD,0.75,0.75,0.75,0.75,3731.99209575,4975.989461
1653609600000,2022-05-27 00:00:00,RRT/USD,0.75,0.75,0.75,0.75,432.7778475,577.03713
1653523200000,2022-05-26 00:00:00,RRT/USD,0.75,0.75,0.75,0.75,64.76249999999999,86.35
1653264000000,2022-05-23 00:00:00,RRT/USD,0.75,0.75,0.75,0.75,283.06301475,377.417353
1653177600000,2022-05-22 00:00:00,RRT/USD,0.75,0.75,0.75,0.75,45.0,60.0
1653004800000,2022-05-20 00:00:00,RRT/USD,0.75,0.75,0.75,0.75,111.89541879000001,149.19389172
1652918400000,2022-05-19 00:00:00,RRT/USD,0.75,0.75,0.75,0.75,97.21727925,129.623039
1652832000000,2022-05-18 00:00:00,RRT/USD,0.75,0.75,0.75,0.75,225.0,300.0
