https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BTT
1652140800000,2022-05-10 00:00:00,BTT/USD,1.42e-06,1.64e-06,1.4e-06,1.46e-06,8852.485132743002,6063345981.330824
1652054400000,2022-05-09 00:00:00,BTT/USD,1.63e-06,1.68e-06,1.44e-06,1.46e-06,5935.918433951611,4065697557.501104
1651968000000,2022-05-08 00:00:00,BTT/USD,1.68e-06,1.75e-06,1.56e-06,1.63e-06,7642.825269483637,4688849858.578918
1651881600000,2022-05-07 00:00:00,BTT/USD,1.72e-06,1.78e-06,1.6e-06,1.67e-06,6833.469595030368,4091897961.0960283
1651795200000,2022-05-06 00:00:00,BTT/USD,1.69e-06,1.85e-06,1.64e-06,1.71e-06,9094.0424712283,5318153491.946375
1651708800000,2022-05-05 00:00:00,BTT/USD,1.79e-06,1.83e-06,1.64e-06,1.68e-06,11286.586564265754,6718206288.253425
1651622400000,2022-05-04 00:00:00,BTT/USD,1.69e-06,1.86e-06,1.52e-06,1.78e-06,11440.060122786737,6427000068.981314
1651536000000,2022-05-03 00:00:00,BTT/USD,1.71e-06,1.93e-06,1.54e-06,1.7e-06,23644.281889327664,13908401111.369213
1651449600000,2022-05-02 00:00:00,BTT/USD,1.74e-06,1.75e-06,1.62e-06,1.71e-06,5517.836943973413,3226805230.3938093
1651363200000,2022-05-01 00:00:00,BTT/USD,1.6e-06,1.73e-06,1.5e-06,1.73e-06,5363.467314854578,3100270124.193398
1651276800000,2022-04-30 00:00:00,BTT/USD,1.71e-06,1.73e-06,1.25e-06,1.64e-06,10472.946463175022,6385942965.350623
1651190400000,2022-04-29 00:00:00,BTT/USD,1.78e-06,1.78e-06,1.69e-06,1.71e-06,8096.265647682208,4734658273.498367
1651104000000,2022-04-28 00:00:00,BTT/USD,1.76e-06,1.79e-06,1.73e-06,1.78e-06,4552.551289016877,2557613083.7173467
1651017600000,2022-04-27 00:00:00,BTT/USD,1.76e-06,1.8e-06,1.71e-06,1.76e-06,3744.0856529452735,2127321393.7189052
1650931200000,2022-04-26 00:00:00,BTT/USD,1.84e-06,1.85e-06,1.75e-06,1.75e-06,2899.9652787153195,1657123016.408754
1650844800000,2022-04-25 00:00:00,BTT/USD,1.83e-06,1.85e-06,1.75e-06,1.84e-06,8827.406579026283,4797503575.557762
1650758400000,2022-04-24 00:00:00,BTT/USD,1.84e-06,1.86e-06,1.81e-06,1.83e-06,8831.167530209412,4825774606.671809
1650672000000,2022-04-23 00:00:00,BTT/USD,1.87e-06,1.88e-06,1.84e-06,1.85e-06,3150.9509402940944,1703216724.4832942
1650585600000,2022-04-22 00:00:00,BTT/USD,1.88e-06,1.92e-06,1.85e-06,1.87e-06,7640.752512698429,4085963910.5339193
1650499200000,2022-04-21 00:00:00,BTT/USD,1.89e-06,2.02e-06,1.85e-06,1.88e-06,20090.273321608576,10686315596.600306
1650412800000,2022-04-20 00:00:00,BTT/USD,1.92e-06,1.93e-06,1.88e-06,1.89e-06,2739.0204355835886,1449217161.6844385
1650326400000,2022-04-19 00:00:00,BTT/USD,1.88e-06,1.93e-06,1.88e-06,1.91e-06,2531.0912912657914,1325178686.5265925
1650240000000,2022-04-18 00:00:00,BTT/USD,1.89e-06,1.9e-06,1.83e-06,1.89e-06,2560.6250933523074,1354828091.7207975
1650153600000,2022-04-17 00:00:00,BTT/USD,1.96e-06,1.97e-06,1.89e-06,1.9e-06,1737.6416241518384,914548223.2378097
1650067200000,2022-04-16 00:00:00,BTT/USD,1.98e-06,2e-06,1.94e-06,1.96e-06,1579.2855483432963,805757932.8282125
1649980800000,2022-04-15 00:00:00,BTT/USD,1.91e-06,2.01e-06,1.91e-06,1.98e-06,2424.288484162815,1224388123.314553
1649894400000,2022-04-14 00:00:00,BTT/USD,1.9e-06,2.06e-06,1.89e-06,1.91e-06,4031.549012159594,2110758645.1097353
1649808000000,2022-04-13 00:00:00,BTT/USD,1.84e-06,1.91e-06,1.82e-06,1.9e-06,2302.616928824596,1211903646.7497873
1649721600000,2022-04-12 00:00:00,BTT/USD,1.81e-06,1.85e-06,1.8e-06,1.84e-06,6867.751320808157,3732473543.9174767
1649635200000,2022-04-11 00:00:00,BTT/USD,1.96e-06,1.96e-06,1.8e-06,1.81e-06,12809.732482655374,7077200266.660427
1649548800000,2022-04-10 00:00:00,BTT/USD,1.98e-06,2e-06,1.95e-06,1.96e-06,15560.886261613312,7939227684.496589
1649462400000,2022-04-09 00:00:00,BTT/USD,1.95e-06,2e-06,1.95e-06,1.98e-06,18853.053026971782,9521743953.01605
1649376000000,2022-04-08 00:00:00,BTT/USD,2.01e-06,2.03e-06,1.95e-06,1.96e-06,20303.37864726276,10358866656.766716
1649289600000,2022-04-07 00:00:00,BTT/USD,1.98e-06,2.01e-06,1.96e-06,2.01e-06,28308.30466955165,14083733666.443607
1649203200000,2022-04-06 00:00:00,BTT/USD,2.11e-06,2.12e-06,1.97e-06,1.98e-06,28488.604448629234,14388184064.964258
1649116800000,2022-04-05 00:00:00,BTT/USD,2.16e-06,2.2e-06,2.11e-06,2.11e-06,46603.51316418557,22086973063.595055
1649030400000,2022-04-04 00:00:00,BTT/USD,2.2e-06,2.2e-06,2.12e-06,2.16e-06,25476.08203837351,11794482425.172922
1648944000000,2022-04-03 00:00:00,BTT/USD,2.21e-06,2.24e-06,2.18e-06,2.21e-06,43039.04777780482,19474682252.40037
1648857600000,2022-04-02 00:00:00,BTT/USD,2.16e-06,2.23e-06,2.16e-06,2.21e-06,61346.14416498431,27758436273.748558
1648771200000,2022-04-01 00:00:00,BTT/USD,2.14e-06,2.2e-06,2.07e-06,2.17e-06,40127.466194924484,18491919905.495155
1648684800000,2022-03-31 00:00:00,BTT/USD,2.1e-06,2.33e-06,2.09e-06,2.14e-06,49741.28524302711,23243591235.0594
1648598400000,2022-03-30 00:00:00,BTT/USD,2.1e-06,2.14e-06,2.06e-06,2.1e-06,53098.0012155175,25284762483.579765
1648512000000,2022-03-29 00:00:00,BTT/USD,2.07e-06,2.16e-06,2.07e-06,2.1e-06,24153.784871218362,11501802319.627792
1648425600000,2022-03-28 00:00:00,BTT/USD,2.13e-06,2.17e-06,2.09e-06,2.09e-06,8556.422492339048,4093982053.7507415
1648339200000,2022-03-27 00:00:00,BTT/USD,1.92e-06,2.21e-06,1.92e-06,2.13e-06,14405.993688439983,6763377318.516424
1648252800000,2022-03-26 00:00:00,BTT/USD,1.9e-06,1.94e-06,1.88e-06,1.92e-06,2292.3187153568947,1193915997.581716
1648166400000,2022-03-25 00:00:00,BTT/USD,1.95e-06,1.98e-06,1.89e-06,1.9e-06,808.1519420037528,425343127.3703962
1648080000000,2022-03-24 00:00:00,BTT/USD,1.87e-06,1.96e-06,1.85e-06,1.95e-06,2498.664523334298,1281366422.2227168
1647993600000,2022-03-23 00:00:00,BTT/USD,1.85e-06,1.88e-06,1.83e-06,1.87e-06,897.8788301729068,480149107.0443351
