https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ANT
1653696000000,2022-05-28 00:00:00,ANT/USD,1.6065,1.8284,1.5933,1.6585,3752.3890412981104,2262.51977166
1653609600000,2022-05-27 00:00:00,ANT/USD,1.6302,1.6658,1.5263,1.5944,2354.46732236468,1476.7105634499999
1653523200000,2022-05-26 00:00:00,ANT/USD,1.8741,1.8776,1.5877,1.6422,14813.083536734954,9020.26765116
1653436800000,2022-05-25 00:00:00,ANT/USD,1.9985,1.9985,1.8376,1.8441,10288.46507178419,5579.12535751
1653350400000,2022-05-24 00:00:00,ANT/USD,1.8883,2.0777,1.874,2.0236,58609.2704746352,28962.873332
1653264000000,2022-05-23 00:00:00,ANT/USD,2.048,2.1378,1.8255,1.8509,13051.787576737739,7051.5898086
1653177600000,2022-05-22 00:00:00,ANT/USD,2.0846,2.2101,1.9675,2.0693,61076.25322455773,29515.41739939
1653091200000,2022-05-21 00:00:00,ANT/USD,1.7514,2.3295,1.7514,2.0933,66846.54051452082,31933.56925167
1653004800000,2022-05-20 00:00:00,ANT/USD,1.7012,1.768,1.5638,1.7316,2885.852530369692,1666.58150287
1652918400000,2022-05-19 00:00:00,ANT/USD,1.6062,1.7155,1.5043,1.7155,6985.56115662616,4072.02632272
1652832000000,2022-05-18 00:00:00,ANT/USD,1.6581,1.8484,1.607,1.636,27766.05433724216,16971.91585406
1652745600000,2022-05-17 00:00:00,ANT/USD,1.5738,1.6744,1.4966,1.6536,6370.791897379416,3852.6801508099998
1652659200000,2022-05-16 00:00:00,ANT/USD,1.6196,1.6244,1.4397,1.5511,7812.328862341764,5036.63778115
1652572800000,2022-05-15 00:00:00,ANT/USD,1.5657,1.6555,1.4758,1.6527,8182.891603030263,4951.22623769
1652486400000,2022-05-14 00:00:00,ANT/USD,1.4351,1.6497,1.3551,1.6497,8911.090258756569,5401.64287977
1652400000000,2022-05-13 00:00:00,ANT/USD,1.2356,1.6398,1.2202,1.4241,14334.666409317158,10065.77235399
1652313600000,2022-05-12 00:00:00,ANT/USD,1.5344,1.66,1.0927,1.2281,113202.613236997,92177.03219363
1652227200000,2022-05-11 00:00:00,ANT/USD,2.4469,2.4469,1.4808,1.5445,77162.66137747116,49959.63831497
1652140800000,2022-05-10 00:00:00,ANT/USD,2.4084,2.6696,2.3179,2.4346,30746.50256100153,12628.97501068
1652054400000,2022-05-09 00:00:00,ANT/USD,2.946,2.946,2.3933,2.3933,27223.60219420023,11374.9225731
1651968000000,2022-05-08 00:00:00,ANT/USD,3.055,3.1197,2.9526,3.0169,1710.337036076277,566.91870333
1651881600000,2022-05-07 00:00:00,ANT/USD,3.1956,3.2079,3.0212,3.0901,1766.593755481503,571.69468803
1651795200000,2022-05-06 00:00:00,ANT/USD,3.1874,3.2708,3.0922,3.2474,1201.3584366407,369.9447055
1651708800000,2022-05-05 00:00:00,ANT/USD,3.5893,3.65,3.0887,3.1717,21630.037076574157,6819.69829321
1651622400000,2022-05-04 00:00:00,ANT/USD,3.2787,3.5671,3.2787,3.5671,2812.630450070034,788.4921785399999
1651536000000,2022-05-03 00:00:00,ANT/USD,3.4222,3.4531,3.2273,3.312,1120.6508887872,338.3607756
1651449600000,2022-05-02 00:00:00,ANT/USD,3.4332,3.4423,3.2411,3.4025,3820.4231961604996,1122.8282722
1651363200000,2022-05-01 00:00:00,ANT/USD,3.1595,3.435,3.1511,3.2995,2080.2690029751802,630.48007364
1651276800000,2022-04-30 00:00:00,ANT/USD,3.6229,3.6854,3.0685,3.2022,14747.729467727557,4605.49917798
1651190400000,2022-04-29 00:00:00,ANT/USD,3.7141,3.7435,3.5098,3.5423,2598.103172945584,733.45091408
1651104000000,2022-04-28 00:00:00,ANT/USD,3.8548,3.9326,3.7773,3.8482,613.5895916329679,159.44846723999999
1651017600000,2022-04-27 00:00:00,ANT/USD,3.7055,3.8544,3.7055,3.8074,238.33687391297798,62.59832797
1650931200000,2022-04-26 00:00:00,ANT/USD,4.1723,4.1917,3.7081,3.7392,4263.380609286384,1140.18522927
1650844800000,2022-04-25 00:00:00,ANT/USD,4.1694,4.1694,3.8786,4.1244,15975.490608228394,3873.4096130899998
1650758400000,2022-04-24 00:00:00,ANT/USD,4.2874,4.2874,4.2008,4.2008,1086.16741679184,258.5620398
1650672000000,2022-04-23 00:00:00,ANT/USD,4.5089,4.5236,4.3125,4.3125,1266.0382446674998,293.57408571999997
1650585600000,2022-04-22 00:00:00,ANT/USD,4.2502,4.5093,4.2495,4.484,1959.60120550016,437.02078624
1650499200000,2022-04-21 00:00:00,ANT/USD,4.4112,4.6117,4.1571,4.2182,16248.009090375708,3851.8821038300002
1650412800000,2022-04-20 00:00:00,ANT/USD,4.4667,4.4964,4.3318,4.3621,1197.705392548167,274.57082427
1650326400000,2022-04-19 00:00:00,ANT/USD,4.3386,4.4087,4.3386,4.3802,520.11321365641,118.74188705
1650240000000,2022-04-18 00:00:00,ANT/USD,4.2285,4.2469,3.9909,4.2391,4286.895222527349,1011.27485139
1650153600000,2022-04-17 00:00:00,ANT/USD,4.354,4.4381,4.2854,4.2854,674.962904433132,157.50289458
1650067200000,2022-04-16 00:00:00,ANT/USD,4.3466,4.3807,4.283,4.2947,628.8433192219389,146.42310737
1649980800000,2022-04-15 00:00:00,ANT/USD,4.26,4.3357,4.1912,4.3248,709.191373022112,163.98246694
1649894400000,2022-04-14 00:00:00,ANT/USD,4.4334,4.4334,4.2077,4.2651,1086.565244091327,254.75727277
1649808000000,2022-04-13 00:00:00,ANT/USD,4.3282,4.446,4.204,4.4447,1695.0875843320382,381.37277754
1649721600000,2022-04-12 00:00:00,ANT/USD,4.3292,4.346,4.1502,4.346,7437.21517528082,1711.27822717
1649635200000,2022-04-11 00:00:00,ANT/USD,4.5076,4.566,4.1277,4.1277,1321.3616492159638,320.12056332
1649548800000,2022-04-10 00:00:00,ANT/USD,4.749,4.8,4.6082,4.7749,3969.4611919589506,831.31818299
1649462400000,2022-04-09 00:00:00,ANT/USD,4.6704,4.7081,4.6324,4.6672,1619.714061252064,347.04192262
1649376000000,2022-04-08 00:00:00,ANT/USD,4.9317,4.9737,4.5273,4.5646,17370.58662852683,3805.5002910499998
1649289600000,2022-04-07 00:00:00,ANT/USD,4.7835,4.9724,4.7,4.7005,4424.33329831479,941.24737758
1649203200000,2022-04-06 00:00:00,ANT/USD,5.6239,5.6239,4.7468,4.7468,13584.620382268045,2861.84806233
1649116800000,2022-04-05 00:00:00,ANT/USD,5.805,6.1947,5.5873,5.5873,16214.23587130962,2901.98054003
1649030400000,2022-04-04 00:00:00,ANT/USD,5.9287,6.1344,5.3911,5.7218,17679.813426373043,3089.90412569
1648944000000,2022-04-03 00:00:00,ANT/USD,5.371,6.2762,5.1805,5.9606,20155.06112434859,3381.38125765
1648857600000,2022-04-02 00:00:00,ANT/USD,5.2792,5.6037,5.2533,5.2702,27464.36725242699,5211.25711594
1648771200000,2022-04-01 00:00:00,ANT/USD,5.05,5.2869,4.8736,5.2049,6342.086346807239,1218.48380311
1648684800000,2022-03-31 00:00:00,ANT/USD,5.5711,5.68,5.0832,5.1518,8716.57820380629,1691.94809655
1648598400000,2022-03-30 00:00:00,ANT/USD,5.4096,5.4988,5.3749,5.4365,2796.8148275014946,514.45136163
1648512000000,2022-03-29 00:00:00,ANT/USD,5.3424,5.514,5.2791,5.4037,1966.5828931731628,363.93265599
1648425600000,2022-03-28 00:00:00,ANT/USD,5.6798,5.7513,5.2378,5.2855,11828.74339637562,2237.96110044
1648339200000,2022-03-27 00:00:00,ANT/USD,5.5018,5.562,5.2774,5.5427,10935.07428921736,1972.87861317
1648252800000,2022-03-26 00:00:00,ANT/USD,5.3909,5.582,5.3182,5.5028,17248.405625124127,3134.47801576
1648166400000,2022-03-25 00:00:00,ANT/USD,5.1647,5.5114,5.1647,5.3215,32627.075226761503,6131.180161
1648080000000,2022-03-24 00:00:00,ANT/USD,5.0668,5.1787,5.0644,5.1322,2175.424397624824,423.87755692
1647993600000,2022-03-23 00:00:00,ANT/USD,4.907,5.1235,4.8117,5.0655,12670.757035384964,2501.38328603
1647907200000,2022-03-22 00:00:00,ANT/USD,4.7884,5.038,4.7884,4.7933,1696.6140108622371,353.95531489
1647820800000,2022-03-21 00:00:00,ANT/USD,4.6522,4.9037,4.5376,4.8157,2607.759335943993,541.51199949
1647734400000,2022-03-20 00:00:00,ANT/USD,4.9855,4.9855,4.6245,4.6394,12847.41459766151,2769.19743882
