https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume SGB
1648684800000,2022-03-31 00:00:00,SGB/USD,0.071852,0.07462,0.071206,0.073586,18718.04857249222,254369.69766657
1648598400000,2022-03-30 00:00:00,SGB/USD,0.072199,0.072214,0.06989,0.07197,8680.155594963195,120607.96991751
1648512000000,2022-03-29 00:00:00,SGB/USD,0.073971,0.074423,0.07216,0.072292,7771.59804324705,107502.87781839
1648425600000,2022-03-28 00:00:00,SGB/USD,0.066452,0.080409,0.066452,0.073976,43456.78222646527,587444.33635862
1648339200000,2022-03-27 00:00:00,SGB/USD,0.061512,0.070031,0.061442,0.066326,57497.4058848776,866890.90077613
1648252800000,2022-03-26 00:00:00,SGB/USD,0.064042,0.064042,0.061142,0.061416,22509.164444721486,366503.26372153
1648166400000,2022-03-25 00:00:00,SGB/USD,0.064118,0.0643,0.063159,0.063971,37542.75855241466,586871.52854285
1648080000000,2022-03-24 00:00:00,SGB/USD,0.065186,0.065451,0.063562,0.064139,91158.54742523095,1421265.49252765
1647993600000,2022-03-23 00:00:00,SGB/USD,0.063786,0.065649,0.063575,0.065208,22945.135624484912,351876.08306473
1647907200000,2022-03-22 00:00:00,SGB/USD,0.06375,0.066119,0.06306,0.063692,29344.387219476626,460723.28109459
1647820800000,2022-03-21 00:00:00,SGB/USD,0.063938,0.067049,0.061758,0.063746,123282.83499593945,1933969.73921406
1647734400000,2022-03-20 00:00:00,SGB/USD,0.067852,0.067852,0.063219,0.064025,8735.717935458091,136442.29497006
1647648000000,2022-03-19 00:00:00,SGB/USD,0.064561,0.068649,0.063971,0.067742,15607.108765083436,230390.43377939
1647561600000,2022-03-18 00:00:00,SGB/USD,0.063624,0.065272,0.062411,0.064259,3633.897882430653,56550.80039264
1647475200000,2022-03-17 00:00:00,SGB/USD,0.064902,0.06516,0.063241,0.063271,25668.59886077259,405692.95349801
1647388800000,2022-03-16 00:00:00,SGB/USD,0.060286,0.064852,0.060286,0.064852,56668.56000605767,873813.60645867
1647302400000,2022-03-15 00:00:00,SGB/USD,0.061378,0.063257,0.059639,0.060355,69775.44090596485,1156083.8523066
1647216000000,2022-03-14 00:00:00,SGB/USD,0.063505,0.066776,0.060733,0.061474,84650.27759619513,1377009.42831433
1647129600000,2022-03-13 00:00:00,SGB/USD,0.064786,0.066691,0.063157,0.063414,25020.960585475976,394565.24719267
1647043200000,2022-03-12 00:00:00,SGB/USD,0.066442,0.068579,0.064406,0.064627,72955.72420126376,1128873.75557064
1646956800000,2022-03-11 00:00:00,SGB/USD,0.07262,0.074559,0.065634,0.066391,68838.99788995738,1036872.43587169
1646870400000,2022-03-10 00:00:00,SGB/USD,0.071705,0.08635,0.068111,0.072764,104051.19840592022,1429981.83725359
