https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume UOS
1643587200000,2022-01-31 00:00:00,UOS/USD,1.0776,1.0951,1.0092,1.0906,62511.9127663559,57318.82703682
1643500800000,2022-01-30 00:00:00,UOS/USD,1.0484,1.131,1.0362,1.0786,34978.307933766584,32429.36022044
1643414400000,2022-01-29 00:00:00,UOS/USD,1.0452,1.0737,1.0,1.0495,38978.911470635045,37140.45876192
1643328000000,2022-01-28 00:00:00,UOS/USD,0.99691,1.12,0.96227,1.0462,56432.25526827534,53940.217232150004
1643241600000,2022-01-27 00:00:00,UOS/USD,1.0298,1.0834,0.9333,0.99782,130497.11937324204,130782.22462292
1643155200000,2022-01-26 00:00:00,UOS/USD,0.99926,1.12,0.8902,1.0301,377569.0233665635,366536.28129945
1643068800000,2022-01-25 00:00:00,UOS/USD,0.88901,1.07,0.85155,0.99917,339126.67547395057,339408.38443303
1642982400000,2022-01-24 00:00:00,UOS/USD,0.906,0.9499,0.7502,0.89048,402314.62210436066,451795.23639426
1642896000000,2022-01-23 00:00:00,UOS/USD,0.80055,0.95854,0.77694,0.90011,323893.06958186027,359837.20832105
1642809600000,2022-01-22 00:00:00,UOS/USD,0.91608,0.92998,0.73412,0.80303,376056.50089054747,468296.95140972
1642723200000,2022-01-21 00:00:00,UOS/USD,1.1446,1.152,0.88927,0.91752,647980.6882633944,706230.58708627
1642636800000,2022-01-20 00:00:00,UOS/USD,1.1706,1.3062,1.1399,1.1424,162222.0269875343,142001.07404371
1642550400000,2022-01-19 00:00:00,UOS/USD,1.2358,1.2648,1.15,1.169,148302.1575143311,126862.4101919
1642464000000,2022-01-18 00:00:00,UOS/USD,1.2319,1.2604,1.15,1.2361,164266.27838162353,132890.76804597
1642377600000,2022-01-17 00:00:00,UOS/USD,1.316,1.3342,1.2118,1.2317,116491.85093942027,94578.10419698
1642291200000,2022-01-16 00:00:00,UOS/USD,1.3571,1.3719,1.2723,1.3062,64414.172929396256,49314.17312004
1642204800000,2022-01-15 00:00:00,UOS/USD,1.3027,1.3916,1.2779,1.3521,67371.96588747585,49827.6502385
1642118400000,2022-01-14 00:00:00,UOS/USD,1.2983,1.3431,1.265,1.3038,176114.5935280809,135077.92109839
1642032000000,2022-01-13 00:00:00,UOS/USD,1.3566,1.4569,1.2879,1.3005,140199.319219862,107804.16702796001
1641945600000,2022-01-12 00:00:00,UOS/USD,1.2298,1.4636,1.2271,1.3539,312956.4717890255,231151.83675975
1641859200000,2022-01-11 00:00:00,UOS/USD,1.1379,1.24,1.0968,1.23,219745.4502421698,178654.83759526
1641772800000,2022-01-10 00:00:00,UOS/USD,1.2561,1.2794,1.08,1.1336,282015.4218660411,248778.60079926
1641686400000,2022-01-09 00:00:00,UOS/USD,1.2066,1.2846,1.161,1.2495,158508.73593980272,126857.73184458
1641600000000,2022-01-08 00:00:00,UOS/USD,1.2681,1.3715,1.2,1.2027,195486.03013729458,162539.31166317
1641513600000,2022-01-07 00:00:00,UOS/USD,1.4098,1.4601,1.258,1.2694,150039.94525148158,118197.5305274
1641427200000,2022-01-06 00:00:00,UOS/USD,1.3554,1.4277,1.277,1.4119,255738.3219327291,181130.61968463002
1641340800000,2022-01-05 00:00:00,UOS/USD,1.4584,1.4811,1.3101,1.3524,377598.70375676523,279206.37663174
1641254400000,2022-01-04 00:00:00,UOS/USD,1.5397,1.5929,1.3701,1.4639,347815.6639413483,237595.23460711
1641168000000,2022-01-03 00:00:00,UOS/USD,1.5569,1.583,1.49,1.5348,139581.02778045897,90944.11505112
1641081600000,2022-01-02 00:00:00,UOS/USD,1.5833,1.6169,1.5344,1.5587,110252.4355964314,70733.58285522
1640995200000,2022-01-01 00:00:00,UOS/USD,1.5727,1.6297,1.5,1.5903,96632.78848688524,60763.87378915
1640908800000,2021-12-31 00:00:00,UOS/USD,1.476,1.6413,1.476,1.5802,164515.45910341246,104110.52974523
1640822400000,2021-12-30 00:00:00,UOS/USD,1.5406,1.5677,1.451,1.476,196965.29238292185,133445.32004263
1640736000000,2021-12-29 00:00:00,UOS/USD,1.6752,1.6908,1.515,1.5377,195205.02397717882,126946.1039066
1640649600000,2021-12-28 00:00:00,UOS/USD,1.7208,1.8498,1.617,1.6833,338325.05632943945,200989.16196129
1640563200000,2021-12-27 00:00:00,UOS/USD,1.6923,1.7866,1.6806,1.7262,187381.42955593552,108551.40166605
1640476800000,2021-12-26 00:00:00,UOS/USD,1.7254,1.775,1.6707,1.6956,108859.61136311186,64201.23340594
1640390400000,2021-12-25 00:00:00,UOS/USD,1.755,1.7781,1.592,1.7269,605797.005884366,350800.28136219
1640304000000,2021-12-24 00:00:00,UOS/USD,1.697,1.9137,1.6919,1.754,676658.0856405959,385779.98041083
1640217600000,2021-12-23 00:00:00,UOS/USD,1.6057,1.7238,1.5176,1.6979,343386.12163872796,202241.6641962
1640131200000,2021-12-22 00:00:00,UOS/USD,1.5037,1.678,1.4417,1.6116,934204.5569361381,579675.20286432
1640044800000,2021-12-21 00:00:00,UOS/USD,1.3983,1.5354,1.36,1.5087,236944.8539567692,157052.33244301
1639958400000,2021-12-20 00:00:00,UOS/USD,1.4778,1.545,1.36,1.3974,313311.80580203846,224210.5380006
1639872000000,2021-12-19 00:00:00,UOS/USD,1.5253,1.545,1.43,1.4698,207129.3066911321,140923.46352642
