https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BFT
1650412800000,2022-04-20 00:00:00,BFT/USD,0.011781,0.012804,0.011712,0.012216,3276.6653970455523,268227.357322
1650326400000,2022-04-19 00:00:00,BFT/USD,0.011759,0.012574,0.011611,0.011749,1528.8671634158145,130127.42900807
1650240000000,2022-04-18 00:00:00,BFT/USD,0.012193,0.01288,0.011653,0.011739,6772.1349328198485,576891.97826219
1650153600000,2022-04-17 00:00:00,BFT/USD,0.012171,0.012974,0.01202,0.012143,5045.969212454266,415545.51696074003
1650067200000,2022-04-16 00:00:00,BFT/USD,0.012527,0.012747,0.012129,0.012148,1063.0797729944973,87510.68266336
1649980800000,2022-04-15 00:00:00,BFT/USD,0.012141,0.012868,0.010501,0.012547,14881.516697298886,1186061.74362787
1649894400000,2022-04-14 00:00:00,BFT/USD,0.012065,0.012974,0.0108,0.012116,25176.9408900686,2077991.1596293
1649808000000,2022-04-13 00:00:00,BFT/USD,0.012051,0.012784,0.012003,0.012119,52413.23142281959,4324880.88314379
1649721600000,2022-04-12 00:00:00,BFT/USD,0.012567,0.013413,0.011969,0.012056,36133.83774028719,2997166.36863696
1649635200000,2022-04-11 00:00:00,BFT/USD,0.012612,0.01334,0.011904,0.012596,67249.74051757365,5338975.9064444
1649548800000,2022-04-10 00:00:00,BFT/USD,0.012691,0.013424,0.012363,0.01246,47157.2729024107,3784692.84931065
1649462400000,2022-04-09 00:00:00,BFT/USD,0.012021,0.013068,0.011654,0.012716,44677.965503463085,3513523.55327643
1649376000000,2022-04-08 00:00:00,BFT/USD,0.01236,0.0129,0.011896,0.011938,2221.8927119083023,186119.34259577
1649289600000,2022-04-07 00:00:00,BFT/USD,0.012514,0.01353,0.011898,0.012417,12569.739064601647,1012300.80249671
1649203200000,2022-04-06 00:00:00,BFT/USD,0.013549,0.01406,0.01241,0.012499,10945.274112793868,875691.98438226
1649116800000,2022-04-05 00:00:00,BFT/USD,0.013656,0.014493,0.013376,0.013683,70093.80776219988,5122692.95930716
1649030400000,2022-04-04 00:00:00,BFT/USD,0.01321,0.01415,0.01296,0.013665,88856.51151970704,6502488.95131409
1648944000000,2022-04-03 00:00:00,BFT/USD,0.01405,0.015,0.012466,0.013171,87306.00762533466,6628654.43970349
1648857600000,2022-04-02 00:00:00,BFT/USD,0.014328,0.015,0.012706,0.014105,34301.782272836295,2431888.14412168
1648771200000,2022-04-01 00:00:00,BFT/USD,0.012674,0.015021,0.012587,0.014337,15109.167029632958,1053858.34063144
1648684800000,2022-03-31 00:00:00,BFT/USD,0.012285,0.013105,0.012237,0.012675,2959.6663392195314,233504.24767018
1648598400000,2022-03-30 00:00:00,BFT/USD,0.013,0.013928,0.012203,0.012288,3001.2123858843647,244239.28921585
1648512000000,2022-03-29 00:00:00,BFT/USD,0.013,0.013711,0.013,0.013,2705.24040578636,208095.41582972
1648425600000,2022-03-28 00:00:00,BFT/USD,0.011914,0.014086,0.011888,0.013,2887.17585688662,222090.45052974
1648339200000,2022-03-27 00:00:00,BFT/USD,0.01191,0.012113,0.01176,0.011981,1720.7146515238578,143620.28641381
1648252800000,2022-03-26 00:00:00,BFT/USD,0.011394,0.014998,0.01136,0.011956,5805.521559787014,485573.90095241
1648166400000,2022-03-25 00:00:00,BFT/USD,0.01136,0.011715,0.01136,0.011533,1253.3250988030402,108672.94709122
1648080000000,2022-03-24 00:00:00,BFT/USD,0.011453,0.011579,0.01136,0.01136,1375.4865222670592,121081.56005872
1647993600000,2022-03-23 00:00:00,BFT/USD,0.01141,0.011811,0.01136,0.011452,1706.2808018583178,148994.13219161
1647907200000,2022-03-22 00:00:00,BFT/USD,0.01144,0.011967,0.01141,0.01141,1525.3716019450917,133687.25696276
1647820800000,2022-03-21 00:00:00,BFT/USD,0.011617,0.01262,0.01141,0.01141,1473.4168231987721,129133.81447842
1647734400000,2022-03-20 00:00:00,BFT/USD,0.011641,0.012543,0.011617,0.011625,1486.863953633775,127902.2755814
1647648000000,2022-03-19 00:00:00,BFT/USD,0.011649,0.012626,0.01164,0.01164,1726.0929707176897,148289.77411664
1647561600000,2022-03-18 00:00:00,BFT/USD,0.01191,0.01445,0.01164,0.011644,1957.3069072829123,168095.74950901
1647475200000,2022-03-17 00:00:00,BFT/USD,0.01129,0.011977,0.01076,0.011909,3896.285904199482,327171.54288349
1647388800000,2022-03-16 00:00:00,BFT/USD,0.01122,0.011472,0.010737,0.011387,946.8228681137335,83149.45711019001
1647302400000,2022-03-15 00:00:00,BFT/USD,0.010981,0.011392,0.010643,0.011212,1377.8997093087935,122895.0864528
1647216000000,2022-03-14 00:00:00,BFT/USD,0.01074,0.011134,0.010562,0.011046,1238.7780083091475,112147.20335951
1647129600000,2022-03-13 00:00:00,BFT/USD,0.010757,0.010942,0.01065,0.01076,1086.4540579503478,100971.56672401
1647043200000,2022-03-12 00:00:00,BFT/USD,0.011156,0.01146,0.01065,0.010665,1431.085563411738,134185.23801329
1646956800000,2022-03-11 00:00:00,BFT/USD,0.010963,0.011909,0.01086,0.01137,1450.520856252685,127574.39368977
1646870400000,2022-03-10 00:00:00,BFT/USD,0.011455,0.011915,0.010651,0.010964,3342.327534481427,304845.63430148
1646784000000,2022-03-09 00:00:00,BFT/USD,0.0113,0.013,0.0111,0.011455,2453.7071426298457,214204.02816498
1646697600000,2022-03-08 00:00:00,BFT/USD,0.011275,0.011484,0.010809,0.011269,2726.165044459516,241917.21044099
1646611200000,2022-03-07 00:00:00,BFT/USD,0.011998,0.012107,0.011118,0.011358,1230.553372582399,108342.43463483
1646524800000,2022-03-06 00:00:00,BFT/USD,0.011083,0.01263,0.010719,0.011989,1422.7746294785698,118673.3363482
1646438400000,2022-03-05 00:00:00,BFT/USD,0.01139,0.011625,0.011084,0.011254,1160.2766644924873,103099.04607184
1646352000000,2022-03-04 00:00:00,BFT/USD,0.012765,0.013091,0.011264,0.011359,2246.9207315388157,197809.73074556
1646265600000,2022-03-03 00:00:00,BFT/USD,0.012971,0.013231,0.012622,0.012811,1226.2952960758296,95722.05886159
1646179200000,2022-03-02 00:00:00,BFT/USD,0.013304,0.01366,0.011891,0.012977,1473.754939150916,113566.69023279
1646092800000,2022-03-01 00:00:00,BFT/USD,0.013296,0.0145,0.012536,0.013303,1870.7619013470364,140627.06918342
1646006400000,2022-02-28 00:00:00,BFT/USD,0.012641,0.013999,0.0124,0.013403,1493.424358466238,111424.63317662
1645920000000,2022-02-27 00:00:00,BFT/USD,0.013015,0.013204,0.012001,0.012657,1283.7710277853214,101427.74968676
1645833600000,2022-02-26 00:00:00,BFT/USD,0.011463,0.014437,0.011151,0.012978,2243.6019423069224,172877.32642217
1645747200000,2022-02-25 00:00:00,BFT/USD,0.010856,0.011726,0.010761,0.011383,2062.441326480707,181186.09562336002
1645660800000,2022-02-24 00:00:00,BFT/USD,0.011444,0.011463,0.010332,0.010844,2029.3104788463363,187136.70959483
1645574400000,2022-02-23 00:00:00,BFT/USD,0.011321,0.012662,0.011117,0.011365,3300.323890151606,290393.65509472997
1645488000000,2022-02-22 00:00:00,BFT/USD,0.012713,0.012797,0.011001,0.011189,10721.206510510465,958191.66239257
1645401600000,2022-02-21 00:00:00,BFT/USD,0.013349,0.013349,0.012378,0.012725,3790.0506962640166,297842.88379285
1645315200000,2022-02-20 00:00:00,BFT/USD,0.01322,0.013849,0.012699,0.013166,791.4887302723296,60116.11197572
1645228800000,2022-02-19 00:00:00,BFT/USD,0.013561,0.014286,0.012259,0.013164,5014.839382909152,380951.03182232997
1645142400000,2022-02-18 00:00:00,BFT/USD,0.013912,0.01425,0.013561,0.013561,969.8960388612934,71520.98214448
1645056000000,2022-02-17 00:00:00,BFT/USD,0.014608,0.015374,0.013888,0.013913,1774.67381319469,127555.07893299
1644969600000,2022-02-16 00:00:00,BFT/USD,0.014094,0.014999,0.013771,0.014482,1665.174189693786,114982.33598217
1644883200000,2022-02-15 00:00:00,BFT/USD,0.01216,0.017061,0.012144,0.014095,3362.5577476511276,238563.87000008
1644796800000,2022-02-14 00:00:00,BFT/USD,0.012929,0.014347,0.012143,0.012175,1928.9655166826717,158436.59274601
1644710400000,2022-02-13 00:00:00,BFT/USD,0.012719,0.01344,0.012585,0.012927,4362.807122046675,337495.7161017
1644624000000,2022-02-12 00:00:00,BFT/USD,0.012617,0.013841,0.012585,0.012681,1624.4924763784695,128104.44573602
1644537600000,2022-02-11 00:00:00,BFT/USD,0.014985,0.015987,0.012604,0.012625,5982.088292510297,473828.77564437996
1644451200000,2022-02-10 00:00:00,BFT/USD,0.014215,0.015988,0.014,0.014985,3531.2834315174327,235654.54998448
1644364800000,2022-02-09 00:00:00,BFT/USD,0.014058,0.014799,0.014058,0.014297,2591.766557718637,181280.44748679
1644278400000,2022-02-08 00:00:00,BFT/USD,0.014002,0.014745,0.014001,0.014061,2638.561402147223,187651.04915349
1644192000000,2022-02-07 00:00:00,BFT/USD,0.014,0.014965,0.014,0.014749,8168.072680429037,553805.18546539
1644105600000,2022-02-06 00:00:00,BFT/USD,0.014001,0.014999,0.014,0.014,2731.9713737232,195140.8124088
1644019200000,2022-02-05 00:00:00,BFT/USD,0.014001,0.015262,0.014,0.014,5261.74319806576,375838.79986184003
1643932800000,2022-02-04 00:00:00,BFT/USD,0.014,0.014345,0.014,0.014008,2819.505843570685,201278.25839311
1643846400000,2022-02-03 00:00:00,BFT/USD,0.014043,0.014922,0.014,0.014,8399.78552777686,599984.68055549
1643760000000,2022-02-02 00:00:00,BFT/USD,0.015977,0.019496,0.014,0.014178,12243.184860661086,863533.98650452
1643673600000,2022-02-01 00:00:00,BFT/USD,0.010037,0.016165,0.0097829,0.01601,17450.68627280842,1089986.65039403
1643587200000,2022-01-31 00:00:00,BFT/USD,0.01005,0.010307,0.0097501,0.010023,1460.3777930629626,145702.66318098
1643500800000,2022-01-30 00:00:00,BFT/USD,0.0098033,0.010326,0.0094423,0.010071,1687.3458725350122,167545.01762834
1643414400000,2022-01-29 00:00:00,BFT/USD,0.0093362,0.010371,0.0093361,0.009714,1453.7045438502719,149650.45746863
1643328000000,2022-01-28 00:00:00,BFT/USD,0.0089757,0.0097091,0.0087622,0.0093362,1789.7033895638288,191695.05682867
1643241600000,2022-01-27 00:00:00,BFT/USD,0.0099687,0.010236,0.0089757,0.0089757,2019.6706717815605,225015.39398393
1643155200000,2022-01-26 00:00:00,BFT/USD,0.0092559,0.010132,0.0091893,0.0098757,1722.506830596929,174418.7075951
1643068800000,2022-01-25 00:00:00,BFT/USD,0.009864,0.010267,0.0092468,0.0092556,1651.7522991330466,178459.77560969
1642982400000,2022-01-24 00:00:00,BFT/USD,0.0095119,0.0098721,0.0085523,0.0098721,2690.0933647525853,272494.54166313
1642896000000,2022-01-23 00:00:00,BFT/USD,0.009229,0.010245,0.0091471,0.0094877,4638.432147247374,488888.99809726
1642809600000,2022-01-22 00:00:00,BFT/USD,0.011,0.011537,0.0091015,0.0092082,12727.15011805825,1382153.96256144
1642723200000,2022-01-21 00:00:00,BFT/USD,0.012974,0.013543,0.011,0.011,5667.3486863961,515213.5169451
1642636800000,2022-01-20 00:00:00,BFT/USD,0.012068,0.015,0.012055,0.012904,6671.681145060222,517024.26728613
1642550400000,2022-01-19 00:00:00,BFT/USD,0.012261,0.013641,0.011794,0.012127,1392.3708849074349,114815.77347303
1642464000000,2022-01-18 00:00:00,BFT/USD,0.0122,0.012638,0.011909,0.012638,929.679034376001,73562.19610508
1642377600000,2022-01-17 00:00:00,BFT/USD,0.012648,0.013897,0.012164,0.012443,1133.4519540925182,91091.53372117
1642291200000,2022-01-16 00:00:00,BFT/USD,0.01265,0.013563,0.012648,0.012648,1095.570789676336,86620.08141021
1642204800000,2022-01-15 00:00:00,BFT/USD,0.014237,0.014458,0.01265,0.01265,2093.8959066168,165525.368112
1642118400000,2022-01-14 00:00:00,BFT/USD,0.014609,0.015,0.014237,0.014237,4790.567540762462,336487.14903157
1642032000000,2022-01-13 00:00:00,BFT/USD,0.013899,0.014798,0.013686,0.014627,2878.9639670919173,196825.32078293
1641945600000,2022-01-12 00:00:00,BFT/USD,0.014108,0.014183,0.01352,0.013899,1388.457706801749,99896.23043397
1641859200000,2022-01-11 00:00:00,BFT/USD,0.01317,0.014183,0.012708,0.014051,26426.190077918087,1880733.76114996
1641772800000,2022-01-10 00:00:00,BFT/USD,0.011927,0.013873,0.011768,0.013166,2443.6447741630245,185602.67159069
1641686400000,2022-01-09 00:00:00,BFT/USD,0.012602,0.013611,0.011768,0.011768,6327.345296617217,537673.80154803
1641600000000,2022-01-08 00:00:00,BFT/USD,0.010272,0.013407,0.010272,0.012679,52123.27618882689,4110992.67992956
1641513600000,2022-01-07 00:00:00,BFT/USD,0.011296,0.011309,0.010565,0.010565,1956.9267308612289,185227.32899775
1641427200000,2022-01-06 00:00:00,BFT/USD,0.011737,0.012131,0.011171,0.011351,2606.77079153997,229651.20179191
1641340800000,2022-01-05 00:00:00,BFT/USD,0.01314,0.013617,0.011673,0.011807,13320.45749785348,1128183.06918383
1641254400000,2022-01-04 00:00:00,BFT/USD,0.014343,0.014402,0.012528,0.01315,2164.6044699538993,164608.70493946
1641168000000,2022-01-03 00:00:00,BFT/USD,0.013723,0.017802,0.013554,0.014263,10302.522078812979,722325.04233422
1641081600000,2022-01-02 00:00:00,BFT/USD,0.012735,0.016865,0.012464,0.013864,11122.428077002856,802252.45794885
1640995200000,2022-01-01 00:00:00,BFT/USD,0.012595,0.012821,0.012525,0.012734,2185.5866270198853,171633.94275324998
1640908800000,2021-12-31 00:00:00,BFT/USD,0.012869,0.012939,0.012403,0.012578,1098.989440441257,87373.94183823
1640822400000,2021-12-30 00:00:00,BFT/USD,0.012706,0.013131,0.01261,0.012865,6047.531042708075,470076.25672041
1640736000000,2021-12-29 00:00:00,BFT/USD,0.013481,0.01368,0.012053,0.012724,2055.837184244651,161571.61146217
1640649600000,2021-12-28 00:00:00,BFT/USD,0.014299,0.014299,0.01339,0.01339,1344.4406658987305,100406.32306936
