https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XSN
1648512000000,2022-03-29 00:00:00,XSN/USD,0.02392,0.025126,0.023917,0.023917,1607.5856007338148,67215.18588175
1648425600000,2022-03-28 00:00:00,XSN/USD,0.024651,0.02833,0.023916,0.02392,1904.232999203621,79608.40297674
1648339200000,2022-03-27 00:00:00,XSN/USD,0.023998,0.02919,0.0231,0.024651,2685.2719049955876,108931.56078843
1648252800000,2022-03-26 00:00:00,XSN/USD,0.021345,0.025688,0.021345,0.025688,705.6261606562656,27469.09688011
1648166400000,2022-03-25 00:00:00,XSN/USD,0.02438,0.025888,0.0207,0.025688,3028.5201893123035,117896.30135909
1648080000000,2022-03-24 00:00:00,XSN/USD,0.02312,0.025888,0.022666,0.025888,3219.458444760287,124361.03386744
1647993600000,2022-03-23 00:00:00,XSN/USD,0.0245,0.026665,0.022667,0.02395,3183.3442360777844,132916.2520283
1647907200000,2022-03-22 00:00:00,XSN/USD,0.02452,0.02593,0.0245,0.0245,2147.31732850887,87645.60524526
1647820800000,2022-03-21 00:00:00,XSN/USD,0.02381,0.0265,0.0228,0.02452,3224.211587894452,131493.13164333
1647734400000,2022-03-20 00:00:00,XSN/USD,0.031,0.03354,0.016,0.02381,24365.679414463404,1023338.06864609
1647648000000,2022-03-19 00:00:00,XSN/USD,0.02755,0.03098,0.027133,0.0279,1713.218879217798,61405.69459562
1647561600000,2022-03-18 00:00:00,XSN/USD,0.026,0.031265,0.025475,0.027131,7759.4981490233295,286001.18495534
1647475200000,2022-03-17 00:00:00,XSN/USD,0.025,0.02889,0.02484,0.0282,3318.112745743338,117663.57254409
1647388800000,2022-03-16 00:00:00,XSN/USD,0.023611,0.029,0.023,0.02607,25616.266361629223,982595.56431259
1647302400000,2022-03-15 00:00:00,XSN/USD,0.027956,0.031627,0.02202,0.023611,93283.27997090499,3950839.86154356
1647216000000,2022-03-14 00:00:00,XSN/USD,0.03012,0.0324,0.0255,0.027956,81862.13673073228,2928249.27495823
1647129600000,2022-03-13 00:00:00,XSN/USD,0.041459,0.041513,0.028251,0.030319,119314.20636840796,3935294.90974003
1647043200000,2022-03-12 00:00:00,XSN/USD,0.041605,0.044,0.04091,0.04151,8617.453497362583,207599.4578984
1646956800000,2022-03-11 00:00:00,XSN/USD,0.042414,0.047499,0.040801,0.041605,49184.934055133104,1182188.05564555
1646870400000,2022-03-10 00:00:00,XSN/USD,0.048287,0.048287,0.04001,0.042348,91997.43801786896,2172415.17941506
1646784000000,2022-03-09 00:00:00,XSN/USD,0.048158,0.056784,0.043,0.048079,66712.660663424,1387563.39906038
1646697600000,2022-03-08 00:00:00,XSN/USD,0.04943,0.055,0.0455,0.047766,4771.743807060901,99898.33369051
1646611200000,2022-03-07 00:00:00,XSN/USD,0.0464,0.051304,0.045301,0.049031,4492.459245389535,91624.874985
1646524800000,2022-03-06 00:00:00,XSN/USD,0.048009,0.049345,0.043125,0.0464,772.1445019571199,16641.0453008
1646438400000,2022-03-05 00:00:00,XSN/USD,0.049388,0.05298,0.04212,0.048029,7684.652043491244,160000.25075457
1646352000000,2022-03-04 00:00:00,XSN/USD,0.047302,0.050749,0.0456,0.048,2406.46887755904,50134.76828248
1646265600000,2022-03-03 00:00:00,XSN/USD,0.047112,0.058999,0.047002,0.047302,5225.983562285081,110481.23889656
1646179200000,2022-03-02 00:00:00,XSN/USD,0.04551,0.05,0.0455,0.05,3057.778842826,61155.57685652
1646092800000,2022-03-01 00:00:00,XSN/USD,0.047602,0.053,0.045501,0.04551,3511.3815596881445,77156.26367146
1646006400000,2022-02-28 00:00:00,XSN/USD,0.049195,0.0607,0.038,0.046356,69110.82571134446,1490871.20785539
1645920000000,2022-02-27 00:00:00,XSN/USD,0.046202,0.050492,0.046001,0.048781,3333.857042838713,68343.351773
1645833600000,2022-02-26 00:00:00,XSN/USD,0.043098,0.053,0.043097,0.046899,7085.138972448782,151072.28240365
1645747200000,2022-02-25 00:00:00,XSN/USD,0.038078,0.044624,0.03804,0.043114,9751.072353212092,226169.51229791
1645660800000,2022-02-24 00:00:00,XSN/USD,0.048,0.04848,0.03674,0.038078,24081.415487822083,632423.3281113
1645574400000,2022-02-23 00:00:00,XSN/USD,0.0465,0.049,0.04611,0.048,2736.61482854016,57012.80892792
1645488000000,2022-02-22 00:00:00,XSN/USD,0.046364,0.05046,0.045131,0.046424,4687.972922303457,100981.6672907
1645401600000,2022-02-21 00:00:00,XSN/USD,0.047548,0.05046,0.045928,0.046287,5672.640210279985,122553.63731242
1645315200000,2022-02-20 00:00:00,XSN/USD,0.04885,0.05201,0.04121,0.048224,99246.11297908598,2058023.24525311
1645228800000,2022-02-19 00:00:00,XSN/USD,0.051212,0.052208,0.04873,0.04874,5371.735432372941,110212.05236711
1645142400000,2022-02-18 00:00:00,XSN/USD,0.051682,0.05499,0.04805,0.051212,85192.32187468701,1663522.64849424
1645056000000,2022-02-17 00:00:00,XSN/USD,0.058483,0.060927,0.05155,0.051834,25608.870439511225,494055.45471141
1644969600000,2022-02-16 00:00:00,XSN/USD,0.062899,0.06521,0.057,0.058371,9299.03120580783,159309.09536941
1644883200000,2022-02-15 00:00:00,XSN/USD,0.059744,0.063754,0.05715,0.062959,14181.30403938732,225246.65320903
1644796800000,2022-02-14 00:00:00,XSN/USD,0.057127,0.0635,0.0553,0.059659,9802.32388791115,164305.86982536
1644710400000,2022-02-13 00:00:00,XSN/USD,0.057661,0.061398,0.0535,0.057269,21450.387913925642,374554.95842298
1644624000000,2022-02-12 00:00:00,XSN/USD,0.062011,0.064497,0.056021,0.0568,20902.59712485781,368003.47050806
1644537600000,2022-02-11 00:00:00,XSN/USD,0.070947,0.074798,0.06201,0.06201,21822.78319641189,351923.61226273
1644451200000,2022-02-10 00:00:00,XSN/USD,0.083622,0.088002,0.07007,0.070989,35504.82061430069,500145.38328897
1644364800000,2022-02-09 00:00:00,XSN/USD,0.072959,0.089,0.07011,0.083917,41596.860197919836,495690.50607052003
1644278400000,2022-02-08 00:00:00,XSN/USD,0.072757,0.0749,0.065402,0.073,25963.67173572705,355666.73610585
1644192000000,2022-02-07 00:00:00,XSN/USD,0.07,0.075722,0.0682,0.072635,20677.685830529495,284679.36711681
1644105600000,2022-02-06 00:00:00,XSN/USD,0.066101,0.074114,0.064012,0.07,12549.9023182246,179284.31883178
1644019200000,2022-02-05 00:00:00,XSN/USD,0.070312,0.072299,0.0645,0.0661,9205.127308349582,139260.62493721
1643932800000,2022-02-04 00:00:00,XSN/USD,0.060275,0.075,0.060275,0.070674,34852.88026349831,493149.95986499
1643846400000,2022-02-03 00:00:00,XSN/USD,0.050899,0.064999,0.048627,0.061637,27113.922046750176,439896.84843114
1643760000000,2022-02-02 00:00:00,XSN/USD,0.057241,0.059244,0.047845,0.05102,21136.66580213715,414281.9639776
1643673600000,2022-02-01 00:00:00,XSN/USD,0.054828,0.0619,0.048788,0.057062,34229.20291192743,599859.85265023
1643587200000,2022-01-31 00:00:00,XSN/USD,0.046511,0.0585,0.045,0.054714,27621.76173540898,504839.01260023
1643500800000,2022-01-30 00:00:00,XSN/USD,0.060515,0.062427,0.043323,0.046511,62380.11164261226,1341190.506388
1643414400000,2022-01-29 00:00:00,XSN/USD,0.067759,0.070099,0.06,0.060515,13179.45520593019,217788.23772503
1643328000000,2022-01-28 00:00:00,XSN/USD,0.068158,0.072799,0.062002,0.0687,26574.510439661324,386819.65705475
1643241600000,2022-01-27 00:00:00,XSN/USD,0.07601,0.078874,0.065139,0.067953,20124.88459282267,296158.88324022
1643155200000,2022-01-26 00:00:00,XSN/USD,0.080248,0.08475,0.076001,0.07601,13691.555731547647,180128.34800089
1643068800000,2022-01-25 00:00:00,XSN/USD,0.08011,0.089619,0.08,0.081141,10731.943687246609,132262.89652884
1642982400000,2022-01-24 00:00:00,XSN/USD,0.087528,0.090151,0.080001,0.08011,12108.825592341678,151152.48523707
1642896000000,2022-01-23 00:00:00,XSN/USD,0.082983,0.093541,0.081001,0.088039,32174.44814798375,365456.76516070997
