https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume PNK
1647129600000,2022-03-13 00:00:00,PNK/USD,0.074643,0.07511,0.070962,0.071418,10659.771638402744,149258.89325384
1647043200000,2022-03-12 00:00:00,PNK/USD,0.074228,0.076311,0.073515,0.074724,24201.184440271823,323874.31668904
1646956800000,2022-03-11 00:00:00,PNK/USD,0.075908,0.077232,0.073124,0.074228,8072.062994911685,108746.87442625
1646870400000,2022-03-10 00:00:00,PNK/USD,0.080718,0.080797,0.074851,0.075957,9878.683400213817,130056.26078194
1646784000000,2022-03-09 00:00:00,PNK/USD,0.076158,0.082015,0.075937,0.080764,14566.118945053158,180354.10510937
1646697600000,2022-03-08 00:00:00,PNK/USD,0.072576,0.077312,0.072393,0.076228,20106.03901355913,263761.85933724
1646611200000,2022-03-07 00:00:00,PNK/USD,0.076024,0.077852,0.071608,0.07257,7410.021685235656,102108.60803687
1646524800000,2022-03-06 00:00:00,PNK/USD,0.078118,0.079333,0.075954,0.076024,9185.96274094947,120829.77403122
1646438400000,2022-03-05 00:00:00,PNK/USD,0.077899,0.080599,0.076366,0.07852,28542.232169879786,363502.70211258
1646352000000,2022-03-04 00:00:00,PNK/USD,0.083123,0.083227,0.076564,0.077898,9938.057815164557,127577.83017747
1646265600000,2022-03-03 00:00:00,PNK/USD,0.087024,0.087642,0.082254,0.083169,4449.4627988436705,53499.05372006
1646179200000,2022-03-02 00:00:00,PNK/USD,0.088076,0.090804,0.08601,0.087283,11275.03406555521,129177.89335329
1646092800000,2022-03-01 00:00:00,PNK/USD,0.087216,0.090536,0.085156,0.088289,5158.413356185354,58426.45580067
1646006400000,2022-02-28 00:00:00,PNK/USD,0.076842,0.091477,0.075941,0.088116,32333.240761092307,366939.49749299
1645920000000,2022-02-27 00:00:00,PNK/USD,0.082305,0.084332,0.075751,0.077356,18415.31104835022,238059.24619099
1645833600000,2022-02-26 00:00:00,PNK/USD,0.081045,0.08594,0.080652,0.082264,9025.955209449477,109719.38161832
1645747200000,2022-02-25 00:00:00,PNK/USD,0.075858,0.083201,0.075413,0.080897,3550.8216343205695,43893.11883408
1645660800000,2022-02-24 00:00:00,PNK/USD,0.077712,0.08099,0.068055,0.075813,12181.718980975425,160681.13622961
1645574400000,2022-02-23 00:00:00,PNK/USD,0.079865,0.084665,0.078544,0.079926,5660.646397915869,70823.59179636
1645488000000,2022-02-22 00:00:00,PNK/USD,0.078877,0.081459,0.076582,0.079865,9073.982478415553,113616.50883886
1645401600000,2022-02-21 00:00:00,PNK/USD,0.081467,0.084826,0.078168,0.078812,9966.54892479596,126459.78943303
1645315200000,2022-02-20 00:00:00,PNK/USD,0.086832,0.086832,0.080035,0.081467,8577.938051056839,105293.40777317
1645228800000,2022-02-19 00:00:00,PNK/USD,0.087858,0.08855,0.085283,0.086985,2551.2700250857565,29329.99971358
1645142400000,2022-02-18 00:00:00,PNK/USD,0.090649,0.09198,0.086498,0.087699,2671.4540724857875,30461.62524642
1645056000000,2022-02-17 00:00:00,PNK/USD,0.09919,0.10023,0.089651,0.089651,7792.380019275677,86919.05298631
1644969600000,2022-02-16 00:00:00,PNK/USD,0.10055,0.10058,0.095744,0.099277,15996.239069943997,161127.3413776
1644883200000,2022-02-15 00:00:00,PNK/USD,0.092577,0.10075,0.092144,0.10064,5112.372822768162,50798.61707838
1644796800000,2022-02-14 00:00:00,PNK/USD,0.092508,0.094236,0.091176,0.092724,7427.801092145535,80106.56455875
1644710400000,2022-02-13 00:00:00,PNK/USD,0.092534,0.09477,0.091395,0.092707,1502.7927263882675,16210.13220564
1644624000000,2022-02-12 00:00:00,PNK/USD,0.092283,0.09499,0.091015,0.092675,6658.4623162638645,71847.44878623
1644537600000,2022-02-11 00:00:00,PNK/USD,0.10103,0.10131,0.091087,0.09237,5724.349126956981,61971.95114168
