https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume KAI
1652227200000,2022-05-11 00:00:00,KAI/USD,0.019181,0.019423,0.015674,0.015918,1551.6696405974583,97478.93206417
1652140800000,2022-05-10 00:00:00,KAI/USD,0.0202,0.021115,0.0202,0.0211,880.845518421183,41746.23310053
1652054400000,2022-05-09 00:00:00,KAI/USD,0.022254,0.023374,0.0202,0.0202,805.26326440901,39864.51804005
1651968000000,2022-05-08 00:00:00,KAI/USD,0.023519,0.02388,0.020201,0.023457,1631.3406642878163,69546.0060659
1651881600000,2022-05-07 00:00:00,KAI/USD,0.025041,0.025041,0.0235,0.024212,11.18461636427652,461.94516621
1651795200000,2022-05-06 00:00:00,KAI/USD,0.02357,0.025682,0.022751,0.025042,230.01058121787793,9184.99246138
1651708800000,2022-05-05 00:00:00,KAI/USD,0.02764,0.028539,0.02365,0.025526,2216.0527363250712,86815.51109947
1651622400000,2022-05-04 00:00:00,KAI/USD,0.024942,0.02765,0.02329,0.02762,782.6349227202838,28335.804587990002
1651536000000,2022-05-03 00:00:00,KAI/USD,0.026559,0.026559,0.02354,0.026019,8130.1395322996395,312469.33134631
1651449600000,2022-05-02 00:00:00,KAI/USD,0.026558,0.02656,0.02576,0.02576,8.750559429057601,339.69563001
1651363200000,2022-05-01 00:00:00,KAI/USD,0.02655,0.0266,0.02576,0.025768,1091.0510278473357,42341.31588976
1651276800000,2022-04-30 00:00:00,KAI/USD,0.02689,0.027245,0.02582,0.0266,2078.0987293165117,78124.01238032
1651190400000,2022-04-29 00:00:00,KAI/USD,0.02916,0.02978,0.026024,0.02632,4297.426276591426,163276.07433858002
1651104000000,2022-04-28 00:00:00,KAI/USD,0.028475,0.029479,0.02785,0.029479,1657.270456892953,56218.67963272
1651017600000,2022-04-27 00:00:00,KAI/USD,0.02837,0.029,0.02785,0.028476,1616.0805072370779,56752.37067134
1650931200000,2022-04-26 00:00:00,KAI/USD,0.02969,0.030289,0.028375,0.02852,620.9786292502272,21773.44422336
1650844800000,2022-04-25 00:00:00,KAI/USD,0.030443,0.030443,0.02933,0.030031,4291.76801696587,142911.2589313
1650758400000,2022-04-24 00:00:00,KAI/USD,0.03104,0.031349,0.02948,0.030718,2098.7672369568354,68323.69415186
1650672000000,2022-04-23 00:00:00,KAI/USD,0.03065,0.03121,0.0304,0.03121,1848.432498788645,59225.64879169
1650585600000,2022-04-22 00:00:00,KAI/USD,0.03243,0.03251,0.030443,0.03088,2634.0142983633154,85298.39049104
1650499200000,2022-04-21 00:00:00,KAI/USD,0.032972,0.03333,0.03208,0.03247,2036.9655519257688,62733.7712327
1650412800000,2022-04-20 00:00:00,KAI/USD,0.034619,0.03466,0.03231,0.03303,2906.013798817369,87981.04144164
1650326400000,2022-04-19 00:00:00,KAI/USD,0.032379,0.035008,0.03168,0.0337,2448.989766177418,72670.31947114
