https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume QTF
1647388800000,2022-03-16 00:00:00,QTF/USD,12.274,12.641,12.197,12.55,138075.51978244,11002.0334488
1647302400000,2022-03-15 00:00:00,QTF/USD,12.235,12.344,12.053,12.274,37197.09306085614,3030.55996911
1647216000000,2022-03-14 00:00:00,QTF/USD,12.066,12.31,12.043,12.235,23214.321196568697,1897.36993842
1647129600000,2022-03-13 00:00:00,QTF/USD,12.05,12.066,11.848,11.848,19950.4326135992,1683.8650079
1647043200000,2022-03-12 00:00:00,QTF/USD,12.103,12.121,12.05,12.05,6805.073624579,564.73640038
1646956800000,2022-03-11 00:00:00,QTF/USD,12.007,12.361,11.826,12.103,78952.80738273292,6523.40802964
1646870400000,2022-03-10 00:00:00,QTF/USD,12.399,12.587,11.897,12.007,149601.51125191836,12459.52454834
1646784000000,2022-03-09 00:00:00,QTF/USD,12.052,12.701,12.052,12.475,108458.75165514924,8694.08830903
1646697600000,2022-03-08 00:00:00,QTF/USD,12.143,12.288,12.05,12.05,44769.1383386565,3715.28118993
1646611200000,2022-03-07 00:00:00,QTF/USD,11.733,12.438,11.592,12.139,115648.61140567446,9527.02952514
1646524800000,2022-03-06 00:00:00,QTF/USD,12.05,12.055,11.768,11.768,45044.76533777352,3827.73328839
1646438400000,2022-03-05 00:00:00,QTF/USD,12.092,12.092,12.018,12.05,10977.449321768001,910.99164496
1646352000000,2022-03-04 00:00:00,QTF/USD,12.983,12.983,12.018,12.092,113694.60511698725,9402.46486247
1646265600000,2022-03-03 00:00:00,QTF/USD,13.219,13.3,12.943,13.061,51720.51566621102,3959.92004182
1646179200000,2022-03-02 00:00:00,QTF/USD,13.258,13.458,13.101,13.3,63481.870540102005,4773.07297294
1646092800000,2022-03-01 00:00:00,QTF/USD,13.466,13.582,13.132,13.258,100575.01531958804,7585.98697538
1646006400000,2022-02-28 00:00:00,QTF/USD,12.223,13.588,12.125,13.385,174014.3583077307,13000.69916382
1645920000000,2022-02-27 00:00:00,QTF/USD,12.899,12.939,12.22,12.22,87631.3102293408,7171.13831664
1645833600000,2022-02-26 00:00:00,QTF/USD,13.054,13.249,12.899,12.899,40783.29171936271,3161.74057829
1645747200000,2022-02-25 00:00:00,QTF/USD,12.927,13.171,12.81,13.054,85181.21120702258,6525.29578727
1645660800000,2022-02-24 00:00:00,QTF/USD,12.139,13.082,11.57,12.848,259218.5993869842,20175.79385017
1645574400000,2022-02-23 00:00:00,QTF/USD,12.359,12.544,12.139,12.139,35881.032604998465,2955.84748373
1645488000000,2022-02-22 00:00:00,QTF/USD,12.05,12.434,12.05,12.434,57534.59592498382,4627.19928623
1645401600000,2022-02-21 00:00:00,QTF/USD,12.09,12.544,11.98,12.05,200901.5484344655,16672.32767091
1645315200000,2022-02-20 00:00:00,QTF/USD,12.05,12.174,11.877,12.09,59931.2069688579,4957.08907931
1645228800000,2022-02-19 00:00:00,QTF/USD,12.134,12.137,12.05,12.05,11139.875129214,924.47096508
1645142400000,2022-02-18 00:00:00,QTF/USD,12.206,12.334,12.06,12.133,84767.71408369474,6986.541999810001
1645056000000,2022-02-17 00:00:00,QTF/USD,12.764,12.764,12.17,12.244,78452.426484821,6407.41804025
1644969600000,2022-02-16 00:00:00,QTF/USD,12.917,12.917,12.652,12.767,32243.61544582062,2525.54362386
1644883200000,2022-02-15 00:00:00,QTF/USD,12.54,12.995,12.54,12.995,50967.261030289446,3922.06702811
1644796800000,2022-02-14 00:00:00,QTF/USD,12.613,12.652,12.459,12.47,35131.586779462006,2817.2884346
1644710400000,2022-02-13 00:00:00,QTF/USD,12.652,12.691,12.613,12.616,12571.48983254592,996.47192712
1644624000000,2022-02-12 00:00:00,QTF/USD,12.777,12.844,12.576,12.576,29068.66808833152,2311.43989252
1644537600000,2022-02-11 00:00:00,QTF/USD,13.061,13.257,12.766,12.766,92746.22105001839,7265.09643193
1644451200000,2022-02-10 00:00:00,QTF/USD,13.339,13.58,13.078,13.141,91376.18809540414,6953.5186131499995
1644364800000,2022-02-09 00:00:00,QTF/USD,13.379,13.5,13.22,13.339,43296.48520590714,3245.85690126
1644278400000,2022-02-08 00:00:00,QTF/USD,13.357,13.577,13.014,13.379,72985.12125649147,5455.20003412
1644192000000,2022-02-07 00:00:00,QTF/USD,12.969,13.458,12.668,13.338,103800.25084257971,7782.29500994
1644105600000,2022-02-06 00:00:00,QTF/USD,13.009,13.048,12.853,13.048,20527.22845971728,1573.2088028599999
1644019200000,2022-02-05 00:00:00,QTF/USD,13.053,13.053,12.853,12.853,14215.887359298971,1106.03651749
1643932800000,2022-02-04 00:00:00,QTF/USD,11.77,13.053,11.158,13.053,118605.79805857205,9086.47805551
1643846400000,2022-02-03 00:00:00,QTF/USD,12.67,12.681,11.1,11.999,44275.493777024254,3689.93197575
1643760000000,2022-02-02 00:00:00,QTF/USD,13.335,13.335,12.67,12.747,30914.982723156634,2425.27518029
