https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume KNC
1652054400000,2022-05-09 00:00:00,KNC/USD,2.4018,2.5343,2.05,2.05,305250.88796455145,148902.87217783
1651968000000,2022-05-08 00:00:00,KNC/USD,2.6238,2.6238,2.2865,2.4018,59778.7659264813,24889.15227183
1651881600000,2022-05-07 00:00:00,KNC/USD,3.0318,3.0318,2.56,2.6161,27889.680119548466,10660.78518388
1651795200000,2022-05-06 00:00:00,KNC/USD,3.0288,3.1046,2.7179,3.038,107123.17606461127,35261.08494556
1651708800000,2022-05-05 00:00:00,KNC/USD,3.7292,3.7934,2.9811,3.0339,164017.12069478654,54061.47885388
1651622400000,2022-05-04 00:00:00,KNC/USD,3.4806,3.7617,3.2111,3.7435,143231.86723076628,38261.48450134
1651536000000,2022-05-03 00:00:00,KNC/USD,4.096,4.096,3.4553,3.493,66004.05978833351,18896.09498664
1651449600000,2022-05-02 00:00:00,KNC/USD,4.5269,4.663,3.937,4.0934,80855.24426828868,19752.58813414
1651363200000,2022-05-01 00:00:00,KNC/USD,4.8965,5.0021,4.4307,4.484,38168.12594972324,8512.07090761
1651276800000,2022-04-30 00:00:00,KNC/USD,5.3286,5.3637,4.8849,4.8918,18597.741077552946,3801.81959147
1651190400000,2022-04-29 00:00:00,KNC/USD,5.6413,5.7124,5.144,5.3372,60733.11402373811,11379.20895296
1651104000000,2022-04-28 00:00:00,KNC/USD,5.571,5.7655,5.1892,5.4929,190956.28728825654,34764.2023864
1651017600000,2022-04-27 00:00:00,KNC/USD,5.2176,5.6232,5.1527,5.6232,88217.27586351424,15688.09145389
1650931200000,2022-04-26 00:00:00,KNC/USD,5.0197,5.7147,5.0197,5.2252,186537.74230449647,35699.63681859
1650844800000,2022-04-25 00:00:00,KNC/USD,4.7016,5.1045,4.6,5.0347,154866.78673183327,30759.88375312
1650758400000,2022-04-24 00:00:00,KNC/USD,5.1159,5.2055,4.7176,4.7176,53487.7674076094,11337.91915542
1650672000000,2022-04-23 00:00:00,KNC/USD,4.6714,5.2732,4.6449,5.2732,153552.27445298858,29119.37238356
1650585600000,2022-04-22 00:00:00,KNC/USD,4.6942,4.9181,4.4361,4.7298,86821.40196602407,18356.25226564
1650499200000,2022-04-21 00:00:00,KNC/USD,4.3917,5.0599,4.2769,4.7265,127018.46016425265,26873.68246361
1650412800000,2022-04-20 00:00:00,KNC/USD,4.2898,4.6246,4.1509,4.3689,79792.82348822014,18263.82464424
1650326400000,2022-04-19 00:00:00,KNC/USD,4.3464,4.5007,4.2303,4.2642,16265.083283940508,3814.33405655
1650240000000,2022-04-18 00:00:00,KNC/USD,4.1137,4.3622,3.9996,4.348,101402.71607936184,23321.69183058
1650153600000,2022-04-17 00:00:00,KNC/USD,4.4036,4.6421,4.0572,4.1203,170328.43332098058,41338.84263791
1650067200000,2022-04-16 00:00:00,KNC/USD,4.5691,4.5908,4.3312,4.4242,32351.39625128741,7312.37201105
1649980800000,2022-04-15 00:00:00,KNC/USD,4.5039,4.7076,4.292,4.6001,114331.97213549018,24854.23624171
1649894400000,2022-04-14 00:00:00,KNC/USD,3.8274,4.8298,3.8274,4.5532,200254.6967983206,43981.08951909
1649808000000,2022-04-13 00:00:00,KNC/USD,3.8235,4.0055,3.6607,3.8739,85915.30736183727,22177.9879093
1649721600000,2022-04-12 00:00:00,KNC/USD,4.0765,4.4181,3.8085,3.8414,177001.71910431178,46077.39863183
1649635200000,2022-04-11 00:00:00,KNC/USD,4.1635,4.4542,3.8796,4.0381,262789.13845013984,65077.4221664
1649548800000,2022-04-10 00:00:00,KNC/USD,3.6672,4.5108,3.534,4.1408,184043.77261591033,44446.42885817
1649462400000,2022-04-09 00:00:00,KNC/USD,4.0577,4.272,3.6423,3.6911,77472.53103245785,20989.00897631
1649376000000,2022-04-08 00:00:00,KNC/USD,3.4274,4.3987,3.3258,3.9958,271729.15660959366,68003.69303008
1649289600000,2022-04-07 00:00:00,KNC/USD,3.0813,3.3778,2.9188,3.3227,64225.06717042302,19329.18023608
1649203200000,2022-04-06 00:00:00,KNC/USD,3.0106,3.276,2.8591,3.0907,108995.55247947713,35265.65259633
1649116800000,2022-04-05 00:00:00,KNC/USD,3.2095,3.2095,3.0157,3.0157,19897.921667599276,6598.11044454
1649030400000,2022-04-04 00:00:00,KNC/USD,3.2681,3.2681,2.9843,3.222,42256.90811822886,13115.11735513
1648944000000,2022-04-03 00:00:00,KNC/USD,3.3003,3.3095,3.1984,3.2708,21785.948206087727,6660.73994316
1648857600000,2022-04-02 00:00:00,KNC/USD,3.3438,3.4309,3.2314,3.3081,66093.61312067218,19979.32744496
1648771200000,2022-04-01 00:00:00,KNC/USD,3.2474,3.3725,3.0777,3.2987,51666.35980940702,15662.64280153
1648684800000,2022-03-31 00:00:00,KNC/USD,3.4332,3.5374,3.2356,3.2356,50455.910789665875,15593.98899421
1648598400000,2022-03-30 00:00:00,KNC/USD,3.3777,3.564,3.3643,3.4772,111200.45933486325,31979.88592398
1648512000000,2022-03-29 00:00:00,KNC/USD,3.5521,3.7303,3.3831,3.4614,119364.69923574709,34484.51471536
1648425600000,2022-03-28 00:00:00,KNC/USD,3.1858,3.5957,3.1471,3.5839,128106.75712547565,35745.07020996
1648339200000,2022-03-27 00:00:00,KNC/USD,3.1085,3.1858,3.0708,3.1858,44936.76662895647,14105.33198222
1648252800000,2022-03-26 00:00:00,KNC/USD,3.137,3.2094,3.1245,3.1602,38556.54044481674,12200.66465566
1648166400000,2022-03-25 00:00:00,KNC/USD,3.1214,3.1812,3.079,3.1406,69375.50413059615,22089.88859791
1648080000000,2022-03-24 00:00:00,KNC/USD,3.1315,3.1713,3.0617,3.1265,70119.39159745988,22427.44013992
1647993600000,2022-03-23 00:00:00,KNC/USD,3.2777,3.2777,3.1344,3.1706,75318.27380742478,23755.21157113
1647907200000,2022-03-22 00:00:00,KNC/USD,3.1562,3.3574,3.1494,3.3269,23796.929232890525,7152.88383567
1647820800000,2022-03-21 00:00:00,KNC/USD,3.23,3.3315,3.0694,3.1609,81749.05027521693,25862.58669215
1647734400000,2022-03-20 00:00:00,KNC/USD,3.2957,3.3628,3.1779,3.2323,36144.48997487975,11182.28195863
1647648000000,2022-03-19 00:00:00,KNC/USD,3.4134,3.4319,3.2716,3.3701,14022.238816924286,4160.77826086
1647561600000,2022-03-18 00:00:00,KNC/USD,3.1571,3.5083,3.1081,3.4021,100422.97453820478,29517.93731466
1647475200000,2022-03-17 00:00:00,KNC/USD,3.0151,3.1847,2.9502,3.1133,27854.652631723766,8946.98635908
1647388800000,2022-03-16 00:00:00,KNC/USD,3.0755,3.2948,2.9407,3.0692,201043.8358859149,65503.66085166
1647302400000,2022-03-15 00:00:00,KNC/USD,2.883,3.1586,2.8675,3.0462,104869.62397410125,34426.37514743
1647216000000,2022-03-14 00:00:00,KNC/USD,2.5596,2.9099,2.5264,2.9099,14865.623130288266,5108.63711134
1647129600000,2022-03-13 00:00:00,KNC/USD,2.7741,2.8306,2.5645,2.5906,27796.061891728143,10729.58461041
1647043200000,2022-03-12 00:00:00,KNC/USD,2.639,2.8904,2.639,2.8306,23077.38810330701,8152.82558585
1646956800000,2022-03-11 00:00:00,KNC/USD,2.7542,2.7542,2.5568,2.6156,13062.479327019875,4994.06611371
1646870400000,2022-03-10 00:00:00,KNC/USD,3.1447,3.19,2.7556,2.7828,107530.23011872463,38641.0198788
1646784000000,2022-03-09 00:00:00,KNC/USD,3.0972,3.2953,2.8586,3.1449,126933.02973031311,40361.547181249996
1646697600000,2022-03-08 00:00:00,KNC/USD,2.549,3.1796,2.5439,3.0742,129760.92526536163,42209.65625703
1646611200000,2022-03-07 00:00:00,KNC/USD,2.243,2.5674,2.243,2.4592,23881.93172178107,9711.26045941
1646524800000,2022-03-06 00:00:00,KNC/USD,2.3526,2.479,2.2884,2.2884,38314.63137537621,16742.97822731
1646438400000,2022-03-05 00:00:00,KNC/USD,2.4614,2.4614,2.3252,2.3426,25229.418018858614,10769.83608762
1646352000000,2022-03-04 00:00:00,KNC/USD,2.7343,2.8695,2.5051,2.5051,50734.093376223034,20252.32261236
1646265600000,2022-03-03 00:00:00,KNC/USD,2.6919,2.9247,2.689,2.8037,57593.81883323257,20542.07612556
1646179200000,2022-03-02 00:00:00,KNC/USD,2.5655,2.8754,2.4563,2.8087,108024.95931469371,38460.83929031
1646092800000,2022-03-01 00:00:00,KNC/USD,2.4282,2.6713,2.3838,2.5837,172467.25610044666,66752.04400683
1646006400000,2022-02-28 00:00:00,KNC/USD,1.8704,2.4757,1.8358,2.4137,110809.07630891324,45908.38808009
1645920000000,2022-02-27 00:00:00,KNC/USD,1.8427,2.0483,1.7828,1.903,82574.98131595438,43392.00279346
1645833600000,2022-02-26 00:00:00,KNC/USD,1.8647,1.956,1.8209,1.8606,18528.198156872964,9958.18454094
1645747200000,2022-02-25 00:00:00,KNC/USD,1.8306,1.8738,1.7283,1.8738,25907.284812450383,13826.06724968
1645660800000,2022-02-24 00:00:00,KNC/USD,1.7124,1.8408,1.524,1.7829,26650.183987213793,14947.66054586
1645574400000,2022-02-23 00:00:00,KNC/USD,1.7515,1.8339,1.7236,1.7236,34716.70570183779,20141.97360283
1645488000000,2022-02-22 00:00:00,KNC/USD,1.7591,1.7721,1.6513,1.734,25930.88555020962,14954.37459643
1645401600000,2022-02-21 00:00:00,KNC/USD,2.0192,2.1068,1.772,1.772,63036.44287859808,35573.61336264
1645315200000,2022-02-20 00:00:00,KNC/USD,1.9645,2.0638,1.8498,2.0367,19258.890680289474,9455.92904222
1645228800000,2022-02-19 00:00:00,KNC/USD,2.1168,2.1168,1.9514,1.9826,25577.90147246105,12901.19109879
