https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume GNT
1646352000000,2022-03-04 00:00:00,GNT/USD,0.43223,0.56422,0.39511,0.49028,34081.8505983823,69515.07423999
1646265600000,2022-03-03 00:00:00,GNT/USD,0.43712,0.44065,0.41511,0.43029,5222.111809605276,12136.26114854
1646179200000,2022-03-02 00:00:00,GNT/USD,0.46472,0.47275,0.42818,0.44028,9809.155998547873,22279.35858669
1646092800000,2022-03-01 00:00:00,GNT/USD,0.47971,0.4799,0.44311,0.47367,15554.537286106124,32838.341643140004
1646006400000,2022-02-28 00:00:00,GNT/USD,0.4565,0.49618,0.41011,0.47642,14624.645763381486,30696.9601683
1645920000000,2022-02-27 00:00:00,GNT/USD,0.54869,0.55722,0.44011,0.44501,13896.20933212812,31226.73497703
1645833600000,2022-02-26 00:00:00,GNT/USD,0.48525,0.62692,0.47067,0.55968,34709.25472242275,62016.24986139
1645747200000,2022-02-25 00:00:00,GNT/USD,0.3134,0.50989,0.31278,0.48525,51372.13357036737,105867.35408628
1645660800000,2022-02-24 00:00:00,GNT/USD,0.31879,0.31879,0.27546,0.30893,18541.98707892985,60020.02744612
1645574400000,2022-02-23 00:00:00,GNT/USD,0.32164,0.33225,0.30765,0.31741,3796.6031551262145,11961.19578818
1645488000000,2022-02-22 00:00:00,GNT/USD,0.30794,0.32309,0.29118,0.32094,6115.508994488639,19054.99157004
1645401600000,2022-02-21 00:00:00,GNT/USD,0.3238,0.3377,0.30526,0.30988,10035.828882999322,32386.17814315
1645315200000,2022-02-20 00:00:00,GNT/USD,0.33763,0.34635,0.31411,0.3238,7660.926991665073,23659.44098723
1645228800000,2022-02-19 00:00:00,GNT/USD,0.3369,0.34649,0.32288,0.33672,8299.615701430732,24648.41916557
1645142400000,2022-02-18 00:00:00,GNT/USD,0.35102,0.35482,0.33545,0.34221,7300.466453947953,21333.2937493
1645056000000,2022-02-17 00:00:00,GNT/USD,0.38303,0.38661,0.34609,0.35236,7490.183132100568,21257.18904558
1644969600000,2022-02-16 00:00:00,GNT/USD,0.38743,0.38743,0.36693,0.37918,2283.840634046503,6023.10415646
1644883200000,2022-02-15 00:00:00,GNT/USD,0.36494,0.39171,0.35808,0.38361,5343.58612198787,13929.73624772
1644796800000,2022-02-14 00:00:00,GNT/USD,0.37176,0.37176,0.35315,0.36509,3582.1201687322923,9811.6085588
1644710400000,2022-02-13 00:00:00,GNT/USD,0.37456,0.3775,0.3601,0.37168,3006.1513315656366,8088.00939401
1644624000000,2022-02-12 00:00:00,GNT/USD,0.38002,0.38417,0.36151,0.37503,5810.218404651198,15492.67633163
1644537600000,2022-02-11 00:00:00,GNT/USD,0.39747,0.39748,0.37109,0.37834,3518.039310884232,9298.61846721
1644451200000,2022-02-10 00:00:00,GNT/USD,0.40958,0.41146,0.38066,0.39554,3596.411936093025,9092.41021412
