https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume IQX
1654732800000,2022-06-09 00:00:00,IQX/USD,0.0061373,0.006225,0.0059941,0.00604,4407.047494237812,729643.62487381
1654646400000,2022-06-08 00:00:00,IQX/USD,0.0063287,0.0063287,0.0060498,0.0061412,3033.1075655417258,493894.93348885
1654560000000,2022-06-07 00:00:00,IQX/USD,0.0065745,0.0066451,0.0060024,0.0063196,4435.363483820651,701842.43999947
1654473600000,2022-06-06 00:00:00,IQX/USD,0.00628,0.0066362,0.0062299,0.0065937,5030.215539475305,762882.07523474
1654387200000,2022-06-05 00:00:00,IQX/USD,0.0060997,0.0065819,0.0059279,0.0062763,2654.0080688381104,422861.8881886
1654300800000,2022-06-04 00:00:00,IQX/USD,0.0061482,0.0062096,0.0059154,0.006091,3200.510609730977,525449.1232525
1654214400000,2022-06-03 00:00:00,IQX/USD,0.0064442,0.0065025,0.0058828,0.0061295,1478.82038407548,241262.80839799
1654128000000,2022-06-02 00:00:00,IQX/USD,0.0061614,0.0069383,0.0060127,0.006455,9444.88321807909,1463188.72472178
1654041600000,2022-06-01 00:00:00,IQX/USD,0.0059824,0.0065735,0.0058994,0.006197,8378.593967994871,1352040.3369364
1653955200000,2022-05-31 00:00:00,IQX/USD,0.005979,0.0060652,0.0057715,0.0059636,10173.975605363796,1706012.40951167
1653868800000,2022-05-30 00:00:00,IQX/USD,0.0057345,0.0060541,0.0056474,0.006008,8646.290159052312,1439129.52048141
1653782400000,2022-05-29 00:00:00,IQX/USD,0.0056583,0.0061017,0.0054265,0.0057492,2453.612192602621,426774.54125837
1653696000000,2022-05-28 00:00:00,IQX/USD,0.0054828,0.0057309,0.0053702,0.0056362,3054.362233207256,541918.70998319
1653609600000,2022-05-27 00:00:00,IQX/USD,0.005759,0.0057885,0.0054486,0.0055067,7020.849488189637,1274964.94964128
1653523200000,2022-05-26 00:00:00,IQX/USD,0.006209,0.0062244,0.0055883,0.0057518,1977.865947649457,343869.0405872
1653436800000,2022-05-25 00:00:00,IQX/USD,0.0061001,0.006691,0.0060013,0.0061066,13108.347275003272,2146586.85275002
1653350400000,2022-05-24 00:00:00,IQX/USD,0.0058555,0.0065271,0.005622,0.0061331,6175.58123252406,1006926.55142164
1653264000000,2022-05-23 00:00:00,IQX/USD,0.0062207,0.006361,0.0057601,0.0058022,7531.1323149095215,1297978.7520095
1653177600000,2022-05-22 00:00:00,IQX/USD,0.0057375,0.0062124,0.0056734,0.0061703,14154.300542313167,2293940.41494144
1653091200000,2022-05-21 00:00:00,IQX/USD,0.005639,0.0058751,0.0054541,0.0057521,10725.922725662558,1864696.84561509
1653004800000,2022-05-20 00:00:00,IQX/USD,0.0058153,0.0059359,0.0054378,0.0056319,10735.730507725182,1906235.99632898
1652918400000,2022-05-19 00:00:00,IQX/USD,0.0056393,0.0059003,0.005296,0.0058188,34846.62194885547,5988626.8558561
1652832000000,2022-05-18 00:00:00,IQX/USD,0.0063174,0.006396,0.005601,0.005755,17914.558296105646,3112868.5136586702
1652745600000,2022-05-17 00:00:00,IQX/USD,0.0059276,0.00691,0.0052308,0.0063465,73167.94957751545,11528866.2376925
1652659200000,2022-05-16 00:00:00,IQX/USD,0.0065418,0.0065777,0.005677,0.0058983,105080.10894277289,17815321.1845401
1652572800000,2022-05-15 00:00:00,IQX/USD,0.0061482,0.0065796,0.0059719,0.0065717,85955.93091100079,13079710.10712613
1652486400000,2022-05-14 00:00:00,IQX/USD,0.0058302,0.0063489,0.005588,0.0061674,79983.44000580351,12968745.33933319
1652400000000,2022-05-13 00:00:00,IQX/USD,0.0053414,0.0064432,0.0052279,0.0058392,59992.24128536449,10274051.46002269
1652313600000,2022-05-12 00:00:00,IQX/USD,0.0057326,0.0059076,0.0049803,0.0053936,25013.303806496468,4637589.70010688
1652227200000,2022-05-11 00:00:00,IQX/USD,0.0070608,0.0071713,0.0055874,0.0057645,75568.05462952357,13109212.35658315
1652140800000,2022-05-10 00:00:00,IQX/USD,0.0069421,0.00757,0.00657,0.0070747,106566.86548332883,15063093.20300915
