https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume IOT
1645747200000,2022-02-25 00:00:00,IOT/USD,0.69605,0.74735,0.6908,0.74007,1010652.358818894,1365617.25082613
1645660800000,2022-02-24 00:00:00,IOT/USD,0.71351514,0.71765017,0.62111,0.69544,2825469.73742169,4062851.91737848
1645574400000,2022-02-23 00:00:00,IOT/USD,0.75309318,0.78203,0.71245,0.71336,843145.4074824317,1181935.35870028
1645488000000,2022-02-22 00:00:00,IOT/USD,0.71284,0.75464857,0.69597,0.75207468,800577.5067255711,1064492.03518668
1645401600000,2022-02-21 00:00:00,IOT/USD,0.78746002,0.82559958,0.70829,0.71242277,1169096.4101570428,1641014.94139083
1645315200000,2022-02-20 00:00:00,IOT/USD,0.82783,0.82783,0.7777,0.78678124,461585.00981765543,586675.15994364
1645228800000,2022-02-19 00:00:00,IOT/USD,0.80245392,0.83996,0.78346237,0.82808034,896815.0799744442,1083004.91710073
1645142400000,2022-02-18 00:00:00,IOT/USD,0.82389,0.84899,0.7955,0.80292349,940678.259888131,1171566.49619023
1645056000000,2022-02-17 00:00:00,IOT/USD,0.89513,0.91642,0.81034,0.82331716,1605800.627611123,1950403.44793873
1644969600000,2022-02-16 00:00:00,IOT/USD,0.89817102,0.91721,0.87087,0.89419,1041811.993990817,1165090.1866391
1644883200000,2022-02-15 00:00:00,IOT/USD,0.8468073,0.90179,0.84613615,0.89941,1405709.1236590608,1562923.60954299
1644796800000,2022-02-14 00:00:00,IOT/USD,0.85023,0.86294,0.81565,0.84635,1527334.4776558836,1804613.31323434
1644710400000,2022-02-13 00:00:00,IOT/USD,0.87453,0.8979,0.84961,0.84968,1389522.645222225,1635348.18428376
1644624000000,2022-02-12 00:00:00,IOT/USD,0.87475485,0.89736,0.84811782,0.87503,829489.2860183287,947955.25412652
1644537600000,2022-02-11 00:00:00,IOT/USD,0.95039573,0.97755,0.85723,0.87583,1504103.6125721692,1717346.53137272
1644451200000,2022-02-10 00:00:00,IOT/USD,1.02353949,1.024,0.946,0.95025878,1508259.341882744,1587209.05676109
1644364800000,2022-02-09 00:00:00,IOT/USD,0.98846,1.0554,0.98779,1.02244304,1654338.7571297917,1618025.34949017
1644278400000,2022-02-08 00:00:00,IOT/USD,1.0007,1.0106,0.9429131,0.98939,1865241.8590438988,1885244.30107834
