https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume STJ
1652659200000,2022-05-16 00:00:00,STJ/USD,0.595,0.595,0.52209,0.5335,9783.76296947951,18338.82468506
1652572800000,2022-05-15 00:00:00,STJ/USD,0.542,0.59908,0.53651,0.59491,21735.455718093766,36535.70408649
1652486400000,2022-05-14 00:00:00,STJ/USD,0.49779,0.55067,0.4765,0.54241,58505.76799951562,107862.62790051
1652400000000,2022-05-13 00:00:00,STJ/USD,0.44666,0.54252,0.44221,0.50087,24013.00592215919,47942.5917347
1652313600000,2022-05-12 00:00:00,STJ/USD,0.50411,0.53562,0.36736,0.44507,75039.57771345545,168601.74290214
1652227200000,2022-05-11 00:00:00,STJ/USD,0.65588,0.674,0.45636,0.499,30775.35080222614,61674.04970386
1652140800000,2022-05-10 00:00:00,STJ/USD,0.62542,0.71679,0.60234,0.65494,26980.48688486185,41195.35665078
1652054400000,2022-05-09 00:00:00,STJ/USD,0.7894,0.81228,0.62495,0.62496,27231.430901781452,43573.07811985
1651968000000,2022-05-08 00:00:00,STJ/USD,0.80819,0.82898,0.77741,0.7879,2957.0761759829384,3753.11102422
1651881600000,2022-05-07 00:00:00,STJ/USD,0.8534,0.8562,0.7903,0.8072,4168.177424531256,5163.74804823
1651795200000,2022-05-06 00:00:00,STJ/USD,0.85381,0.8613,0.80964,0.85159,8286.906175447155,9731.0985045
1651708800000,2022-05-05 00:00:00,STJ/USD,0.95619,0.96379,0.82887,0.85572,23539.828654655674,27508.79803517
1651622400000,2022-05-04 00:00:00,STJ/USD,0.86429,0.9571,0.85911,0.95658,8307.617342801273,8684.7073353
1651536000000,2022-05-03 00:00:00,STJ/USD,0.88514,0.90988,0.84593,0.86309,12753.038876955661,14776.024374
1651449600000,2022-05-02 00:00:00,STJ/USD,0.90199,0.91367,0.84672,0.8856,20265.726486379393,22883.61166032
1651363200000,2022-05-01 00:00:00,STJ/USD,0.84181,0.91534,0.81249,0.9039,10290.512782288344,11384.56995496
1651276800000,2022-04-30 00:00:00,STJ/USD,0.93809,0.95959,0.80706,0.8439,15965.271996449146,18918.44056932
1651190400000,2022-04-29 00:00:00,STJ/USD,1.0054,1.0148,0.91928,0.94159,8103.176692712015,8605.84404328
