https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume CHZ
1650844800000,2022-04-25 00:00:00,CHZ/USD,0.21129,0.2127,0.19455,0.21193,6832.715061198373,32240.43345066
1650758400000,2022-04-24 00:00:00,CHZ/USD,0.21745,0.2183,0.21004,0.21169,2855.012665087774,13486.76208176
1650672000000,2022-04-23 00:00:00,CHZ/USD,0.21942,0.22002,0.21633,0.21633,1381.6374123401272,6386.71202487
1650585600000,2022-04-22 00:00:00,CHZ/USD,0.22096,0.22403,0.21764,0.22043,2353.9046125237714,10678.69442691
1650499200000,2022-04-21 00:00:00,CHZ/USD,0.22621,0.23504,0.2162,0.2162,16868.923976148595,78024.62523658
1650412800000,2022-04-20 00:00:00,CHZ/USD,0.23001,0.23755,0.22211,0.22547,25466.768380218964,112949.69787652
1650326400000,2022-04-19 00:00:00,CHZ/USD,0.23008,0.23577,0.22597,0.23053,21008.195254661387,91129.98418714
1650240000000,2022-04-18 00:00:00,CHZ/USD,0.22214,0.22849,0.21294,0.22821,9705.263238265534,42527.77370959
1650153600000,2022-04-17 00:00:00,CHZ/USD,0.23439,0.24369,0.22256,0.22256,9769.569959376156,43896.34237678
1650067200000,2022-04-16 00:00:00,CHZ/USD,0.23959,0.24079,0.23067,0.235,5739.2055058868,24422.15108888
1649980800000,2022-04-15 00:00:00,CHZ/USD,0.23844,0.24226,0.23337,0.23768,6040.181816281453,25413.08404696
1649894400000,2022-04-14 00:00:00,CHZ/USD,0.24064,0.25751,0.23509,0.23735,12018.060888358132,50634.34121912
1649808000000,2022-04-13 00:00:00,CHZ/USD,0.2256,0.25491,0.22538,0.24259,51334.6565265854,211610.76930865
1649721600000,2022-04-12 00:00:00,CHZ/USD,0.21946,0.2299,0.21488,0.22777,19656.744277905153,86300.84856612
1649635200000,2022-04-11 00:00:00,CHZ/USD,0.23354,0.24732,0.21642,0.21801,28524.498814273786,130840.32298644
1649548800000,2022-04-10 00:00:00,CHZ/USD,0.24334,0.246,0.23549,0.23945,18112.67406675288,75642.82341513
1649462400000,2022-04-09 00:00:00,CHZ/USD,0.23257,0.24319,0.23216,0.24319,4163.644675872215,17120.953476180002
1649376000000,2022-04-08 00:00:00,CHZ/USD,0.24347,0.24584,0.22797,0.22885,14317.855085346222,62564.36567772
1649289600000,2022-04-07 00:00:00,CHZ/USD,0.22812,0.24269,0.22441,0.24137,33528.79333073668,138910.35891261
1649203200000,2022-04-06 00:00:00,CHZ/USD,0.2531,0.2566,0.22695,0.22695,23080.586844925005,101698.99469013
1649116800000,2022-04-05 00:00:00,CHZ/USD,0.26873,0.2771,0.26254,0.2634,15596.161455581461,59210.9394669
1649030400000,2022-04-04 00:00:00,CHZ/USD,0.28063,0.28517,0.25653,0.27095,27449.516565016485,101308.42061272
1648944000000,2022-04-03 00:00:00,CHZ/USD,0.28,0.28618,0.2794,0.28535,18990.846905445156,66552.8190133
1648857600000,2022-04-02 00:00:00,CHZ/USD,0.28032,0.29314,0.27606,0.2783,24113.20158065117,86644.63377884
1648771200000,2022-04-01 00:00:00,CHZ/USD,0.28564,0.29017,0.26833,0.27974,49274.113578195385,176142.53799312
1648684800000,2022-03-31 00:00:00,CHZ/USD,0.30159,0.3148,0.27895,0.28098,73943.94324613937,263164.43606712
1648598400000,2022-03-30 00:00:00,CHZ/USD,0.29915,0.33025,0.29271,0.30126,82818.5905859891,274907.35771755
1648512000000,2022-03-29 00:00:00,CHZ/USD,0.26239,0.32134,0.26121,0.29242,144160.93810566282,492992.74367575
1648425600000,2022-03-28 00:00:00,CHZ/USD,0.26992,0.28282,0.25452,0.25637,67012.17532083215,261388.52174916
1648339200000,2022-03-27 00:00:00,CHZ/USD,0.24126,0.27659,0.2385,0.2705,40744.3261612217,150625.97471801
1648252800000,2022-03-26 00:00:00,CHZ/USD,0.24689,0.2469,0.23804,0.24298,13524.666549296435,55661.64519424
1648166400000,2022-03-25 00:00:00,CHZ/USD,0.22003,0.25275,0.21956,0.24836,54370.87593065128,218919.61640623
