https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ANC
1648684800000,2022-03-31 00:00:00,ANC/USD,2.8315,2.898,2.5173,2.5451,1264798.6925907421,496954.41931191
1648598400000,2022-03-30 00:00:00,ANC/USD,2.8926,3.059,2.8042,2.8347,2318158.441560693,817779.10945098
1648512000000,2022-03-29 00:00:00,ANC/USD,2.5432,3.0653,2.5432,2.9,3940060.0895444173,1358641.41018773
1648425600000,2022-03-28 00:00:00,ANC/USD,2.4859,2.696,2.4859,2.5362,827113.6576032238,326123.19911806
1648339200000,2022-03-27 00:00:00,ANC/USD,2.4607,2.495,2.4074,2.4828,131467.2834967356,52951.217777
1648252800000,2022-03-26 00:00:00,ANC/USD,2.4535,2.51,2.4229,2.4616,149372.34789827128,60680.99930869
1648166400000,2022-03-25 00:00:00,ANC/USD,2.5759,2.608,2.416,2.4502,302418.583402485,123426.08089237
1648080000000,2022-03-24 00:00:00,ANC/USD,2.613,2.6725,2.5534,2.5733,277180.42407157394,107713.99528682
1647993600000,2022-03-23 00:00:00,ANC/USD,2.6168,2.633,2.556,2.612,84918.07815512248,32510.74967654
1647907200000,2022-03-22 00:00:00,ANC/USD,2.5339,2.745,2.5144,2.622,467682.8030299985,178368.72731884
1647820800000,2022-03-21 00:00:00,ANC/USD,2.5779,2.6194,2.5144,2.5374,324470.9500346962,127875.36456006
1647734400000,2022-03-20 00:00:00,ANC/USD,2.7735,2.8022,2.5699,2.5757,247143.02070292548,95951.7881364
1647648000000,2022-03-19 00:00:00,ANC/USD,2.7544,2.897,2.7507,2.7699,246003.5738118781,88813.16069601
1647561600000,2022-03-18 00:00:00,ANC/USD,2.7903,2.823,2.6781,2.7487,385893.90339429566,140391.42263408
1647475200000,2022-03-17 00:00:00,ANC/USD,3.1596,3.179,2.7873,2.7948,232814.81311016114,83302.85283747
1647388800000,2022-03-16 00:00:00,ANC/USD,2.8279,3.216,2.757,3.1548,1601932.8755434284,507776.36475955
1647302400000,2022-03-15 00:00:00,ANC/USD,2.9077,2.9742,2.6563,2.8246,1386155.3048188628,490743.93004987
1647216000000,2022-03-14 00:00:00,ANC/USD,3.0058,3.109,2.8509,2.9156,587941.557193917,201653.71010904
1647129600000,2022-03-13 00:00:00,ANC/USD,3.1586,3.2552,2.9939,2.9939,625455.1823271848,208909.84412545
1647043200000,2022-03-12 00:00:00,ANC/USD,3.3203,3.3906,3.1384,3.171,733177.2239633655,231213.25259015
1646956800000,2022-03-11 00:00:00,ANC/USD,3.7518,3.7621,3.3007,3.3007,497974.8101445755,150869.4550079
1646870400000,2022-03-10 00:00:00,ANC/USD,4.2702,4.3127,3.7006,3.7408,1060616.3061033126,283526.60022009
1646784000000,2022-03-09 00:00:00,ANC/USD,3.7659,4.4693,3.7478,4.2538,3517134.000554804,826821.66546495
1646697600000,2022-03-08 00:00:00,ANC/USD,3.9246,4.1575,3.5834,3.7608,1683702.2886363862,447697.90699755
1646611200000,2022-03-07 00:00:00,ANC/USD,4.0641,4.4234,3.8333,3.9266,3878835.3617617493,987835.62414347
1646524800000,2022-03-06 00:00:00,ANC/USD,5.8222,5.8554,4.0559,4.0559,3352492.764033538,826571.84941284
1646438400000,2022-03-05 00:00:00,ANC/USD,5.2771,6.1907,5.1746,5.8285,190465.2108998297,32678.25528006
1646352000000,2022-03-04 00:00:00,ANC/USD,4.695,5.6965,4.5795,5.2608,288758.75512742705,54888.75363584
1646265600000,2022-03-03 00:00:00,ANC/USD,4.3591,4.9744,4.3229,4.7444,347434.98319194955,73230.54194249
1646179200000,2022-03-02 00:00:00,ANC/USD,3.7352,4.3573,3.716,4.3563,128585.34135632792,29517.09968467
1646092800000,2022-03-01 00:00:00,ANC/USD,3.5228,3.8409,3.4327,3.735,86039.37848313944,23035.97817487
1646006400000,2022-02-28 00:00:00,ANC/USD,3.6703,3.7239,3.4267,3.4919,38123.864620741864,10917.79965656
1645920000000,2022-02-27 00:00:00,ANC/USD,3.7628,3.8584,3.5388,3.6619,154697.88213245335,42245.25031608
1645833600000,2022-02-26 00:00:00,ANC/USD,3.7312,4.0,3.6012,3.7559,121544.97189669897,32361.07774347
1645747200000,2022-02-25 00:00:00,ANC/USD,3.3235,3.7661,3.267,3.7277,539238.2887204252,144657.10457398
1645660800000,2022-02-24 00:00:00,ANC/USD,2.8647,3.3263,2.6429,3.3198,916261.0090209852,275998.85807006
1645574400000,2022-02-23 00:00:00,ANC/USD,2.8819,3.1066,2.7651,2.8625,426505.4248044069,148997.52831595
1645488000000,2022-02-22 00:00:00,ANC/USD,2.3913,3.0645,2.3825,2.8826,175878.12807898066,61013.71264795
1645401600000,2022-02-21 00:00:00,ANC/USD,2.2002,2.5323,2.1935,2.3955,2788.3458717213302,1163.99326726
1645315200000,2022-02-20 00:00:00,ANC/USD,2.5436,2.5768,2.1366,2.206,605.12251382518,274.30757653
1645228800000,2022-02-19 00:00:00,ANC/USD,2.2818,2.7532,2.2637,2.5469,29344.856507121614,11521.79375206
1645142400000,2022-02-18 00:00:00,ANC/USD,1.9645,2.3124,1.9519,2.2765,262950.667158195,115506.55267217
1645056000000,2022-02-17 00:00:00,ANC/USD,2.0877,2.1565,1.954,1.9583,69411.38348727938,35444.71403119
1644969600000,2022-02-16 00:00:00,ANC/USD,2.1738,2.2048,2.0629,2.0846,63894.874377797205,30650.90395174
1644883200000,2022-02-15 00:00:00,ANC/USD,2.1532,2.4263,2.1164,2.1763,98635.6751189901,45322.64628911
1644796800000,2022-02-14 00:00:00,ANC/USD,1.9297,2.1809,1.8606,2.1508,356307.08212571417,165662.58235341
1644710400000,2022-02-13 00:00:00,ANC/USD,1.6723,2.0289,1.6709,1.9286,464240.5406700459,240713.75125482
1644624000000,2022-02-12 00:00:00,ANC/USD,1.6925,1.6936,1.5859,1.6729,78231.21047117494,46763.82956015
1644537600000,2022-02-11 00:00:00,ANC/USD,1.8504,1.9421,1.675,1.6922,209734.84438135914,123942.11345075
1644451200000,2022-02-10 00:00:00,ANC/USD,1.7599,2.0109,1.7483,1.8497,434985.153204586,235165.24474487
1644364800000,2022-02-09 00:00:00,ANC/USD,1.6203,1.89,1.5938,1.7634,234825.44158122013,133166.29328639
