https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume IDX
1648771200000,2022-04-01 00:00:00,IDX/USD,0.225,0.23248,0.22259,0.23241,12966.384675595269,55790.99296758
1648684800000,2022-03-31 00:00:00,IDX/USD,0.24403,0.24435,0.22407,0.22642,7711.438585725948,34058.11582778
1648598400000,2022-03-30 00:00:00,IDX/USD,0.23191,0.24403,0.22187,0.24403,1755.342203786563,7193.14102277
1648512000000,2022-03-29 00:00:00,IDX/USD,0.23376,0.2341,0.22186,0.22204,1508.3784823584203,6793.27365501
1648425600000,2022-03-28 00:00:00,IDX/USD,0.219,0.23385,0.2188,0.22795,8447.714627271947,37059.50702905
1648339200000,2022-03-27 00:00:00,IDX/USD,0.21857,0.22919,0.21735,0.219,2128.18962031146,9717.76082334
1648252800000,2022-03-26 00:00:00,IDX/USD,0.2188,0.2196,0.21489,0.21857,1359.587674519383,6220.37642183
1648166400000,2022-03-25 00:00:00,IDX/USD,0.22109,0.22166,0.21523,0.21959,3010.2624844004254,13708.55906189
1648080000000,2022-03-24 00:00:00,IDX/USD,0.21636,0.22109,0.2144,0.22109,7079.640748119951,32021.53307757
1647993600000,2022-03-23 00:00:00,IDX/USD,0.2143,0.21742,0.2088,0.21536,8066.276123692093,37454.84827123
1647907200000,2022-03-22 00:00:00,IDX/USD,0.21137,0.21789,0.19475,0.2143,15451.539331128144,72102.37672015
1647820800000,2022-03-21 00:00:00,IDX/USD,0.21146,0.21194,0.20991,0.21094,2100.3318807732053,9957.01090724
1647734400000,2022-03-20 00:00:00,IDX/USD,0.21543,0.21543,0.21028,0.21192,7483.16844583132,35311.28938199
1647648000000,2022-03-19 00:00:00,IDX/USD,0.19844,0.22,0.19832,0.21403,3308.297441959631,15457.16694837
1647561600000,2022-03-18 00:00:00,IDX/USD,0.22318,0.22318,0.18832,0.19844,44027.60106987221,221868.58027551
1647475200000,2022-03-17 00:00:00,IDX/USD,0.1991,0.2584,0.18439,0.22318,73531.2711753816,329470.70156547
1647388800000,2022-03-16 00:00:00,IDX/USD,0.19863,0.1991,0.19725,0.1991,30304.647576273368,152208.17466737
1647302400000,2022-03-15 00:00:00,IDX/USD,0.19963,0.19964,0.19727,0.19863,10110.1683132508,50899.50316292
1647216000000,2022-03-14 00:00:00,IDX/USD,0.20298,0.20326,0.1986,0.19899,20269.671577002035,101862.76484749
1647129600000,2022-03-13 00:00:00,IDX/USD,0.20139,0.20401,0.20139,0.20298,20112.30779847877,99085.16995999
1647043200000,2022-03-12 00:00:00,IDX/USD,0.20136,0.20226,0.19845,0.20139,1325.5299821683795,6581.90566646
1646956800000,2022-03-11 00:00:00,IDX/USD,0.21273,0.21273,0.19149,0.20093,8199.593138156984,40808.20752579
1646870400000,2022-03-10 00:00:00,IDX/USD,0.20607,0.21273,0.18695,0.21273,9101.665991380622,42785.060834769996
1646784000000,2022-03-09 00:00:00,IDX/USD,0.17955,0.21107,0.17422,0.20606,48333.31399245857,234559.41954993
1646697600000,2022-03-08 00:00:00,IDX/USD,0.17449,0.17955,0.1738,0.17955,1041.7061872968345,5801.76099859
1646611200000,2022-03-07 00:00:00,IDX/USD,0.18458,0.19052,0.1725,0.1745,7165.846828840695,41065.02480711
1646524800000,2022-03-06 00:00:00,IDX/USD,0.18773,0.19289,0.18446,0.19053,1567.001788298262,8224.4359854
1646438400000,2022-03-05 00:00:00,IDX/USD,0.18631,0.19297,0.18536,0.19228,1220.4542357079204,6347.27603343
1646352000000,2022-03-04 00:00:00,IDX/USD,0.22682,0.22758,0.18632,0.18632,15480.469283302735,83085.38687904
1646265600000,2022-03-03 00:00:00,IDX/USD,0.23566,0.23824,0.22682,0.22682,6399.753362710752,28215.1193136
1646179200000,2022-03-02 00:00:00,IDX/USD,0.22945,0.24576,0.22291,0.23566,6902.876193767641,29291.67526847
1646092800000,2022-03-01 00:00:00,IDX/USD,0.19987,0.2327,0.19497,0.22952,8307.650103095466,36195.75681028
1646006400000,2022-02-28 00:00:00,IDX/USD,0.19083,0.20521,0.17773,0.20012,12473.547125022718,62330.33742266
1645920000000,2022-02-27 00:00:00,IDX/USD,0.19996,0.19996,0.16875,0.19084,8879.445837342517,46528.22174252
1645833600000,2022-02-26 00:00:00,IDX/USD,0.1898,0.20089,0.18565,0.19996,8681.478079441522,43416.07361193
1645747200000,2022-02-25 00:00:00,IDX/USD,0.1747,0.18995,0.17199,0.18979,26584.076360004456,140071.00669163
1645660800000,2022-02-24 00:00:00,IDX/USD,0.1791,0.18046,0.13581,0.17471,22235.094515562603,127268.58517293
1645574400000,2022-02-23 00:00:00,IDX/USD,0.17761,0.17951,0.17539,0.1791,2689.543364943825,15016.99254575
1645488000000,2022-02-22 00:00:00,IDX/USD,0.18503,0.18648,0.17072,0.17543,7927.365994922938,45188.20039288
1645401600000,2022-02-21 00:00:00,IDX/USD,0.1864,0.19162,0.18312,0.18503,14761.716366029068,79780.12412057
1645315200000,2022-02-20 00:00:00,IDX/USD,0.20002,0.20028,0.17231,0.1864,11047.54390722628,59267.93941645
1645228800000,2022-02-19 00:00:00,IDX/USD,0.20171,0.20393,0.19609,0.20002,7690.3952896086985,38448.13163488
1645142400000,2022-02-18 00:00:00,IDX/USD,0.2195,0.225,0.1999,0.1999,12085.161793057623,60456.03698378
1645056000000,2022-02-17 00:00:00,IDX/USD,0.22968,0.22994,0.21949,0.21949,4114.5883445989475,18746.13123422
1644969600000,2022-02-16 00:00:00,IDX/USD,0.23555,0.23585,0.22497,0.22968,6731.202798417715,29306.87390464
1644883200000,2022-02-15 00:00:00,IDX/USD,0.22233,0.23556,0.21932,0.23549,6223.796876985542,26429.13447274
1644796800000,2022-02-14 00:00:00,IDX/USD,0.21633,0.22473,0.21224,0.22233,16046.896427383655,72176.02854938
1644710400000,2022-02-13 00:00:00,IDX/USD,0.22208,0.22542,0.21634,0.21634,2816.3609878067373,13018.21663958
1644624000000,2022-02-12 00:00:00,IDX/USD,0.22603,0.22875,0.22173,0.22209,3058.462990401496,13771.27736684
1644537600000,2022-02-11 00:00:00,IDX/USD,0.23708,0.2407,0.22604,0.22604,6508.842749482136,28795.09268042
1644451200000,2022-02-10 00:00:00,IDX/USD,0.25206,0.26104,0.2359,0.23708,9614.548777146443,40554.02723615
1644364800000,2022-02-09 00:00:00,IDX/USD,0.24288,0.26204,0.24032,0.25618,26903.26514463842,105017.03936544
1644278400000,2022-02-08 00:00:00,IDX/USD,0.26322,0.26331,0.23505,0.24329,29072.56897611754,119497.59125372
1644192000000,2022-02-07 00:00:00,IDX/USD,0.26304,0.26394,0.25635,0.26236,25587.18138855885,97526.99111358
1644105600000,2022-02-06 00:00:00,IDX/USD,0.26486,0.26576,0.25581,0.26304,14859.972807258047,56493.2056237
1644019200000,2022-02-05 00:00:00,IDX/USD,0.26378,0.27153,0.25849,0.26486,61969.06159013228,233969.12176294
1643932800000,2022-02-04 00:00:00,IDX/USD,0.25864,0.26711,0.25762,0.26379,34997.551203739684,132672.01639084
1643846400000,2022-02-03 00:00:00,IDX/USD,0.26254,0.26496,0.25209,0.25863,8150.367913947924,31513.62144356
1643760000000,2022-02-02 00:00:00,IDX/USD,0.25625,0.28043,0.25209,0.26254,24691.77540628871,94049.57494587
1643673600000,2022-02-01 00:00:00,IDX/USD,0.24933,0.26215,0.24432,0.25626,46899.41859712469,183014.97930666
1643587200000,2022-01-31 00:00:00,IDX/USD,0.2432,0.2519,0.23145,0.24933,5632.190886265064,22589.30287677
1643500800000,2022-01-30 00:00:00,IDX/USD,0.26781,0.27799,0.23921,0.2432,32377.65749185779,133131.81534481
1643414400000,2022-01-29 00:00:00,IDX/USD,0.26845,0.27883,0.26019,0.26781,38390.35915682162,143349.23698451
1643328000000,2022-01-28 00:00:00,IDX/USD,0.28076,0.28221,0.24634,0.26843,29344.65692560503,109319.58769737
1643241600000,2022-01-27 00:00:00,IDX/USD,0.26736,0.28534,0.25718,0.28076,111716.351683617,397906.93718342
1643155200000,2022-01-26 00:00:00,IDX/USD,0.25968,0.29147,0.25519,0.26698,30454.3348783881,114069.72386841
1643068800000,2022-01-25 00:00:00,IDX/USD,0.27277,0.28162,0.25377,0.25967,9600.31912787225,36971.22935985
1642982400000,2022-01-24 00:00:00,IDX/USD,0.24446,0.28449,0.22,0.27276,48181.69542877101,176645.01916986
1642896000000,2022-01-23 00:00:00,IDX/USD,0.23565,0.2929,0.22856,0.24437,28850.10293945981,118059.10275181
1642809600000,2022-01-22 00:00:00,IDX/USD,0.247,0.28544,0.22098,0.24569,13016.06784625036,52977.60530038
1642723200000,2022-01-21 00:00:00,IDX/USD,0.31534,0.3224,0.2465,0.25827,29160.23629020007,112906.01421071
1642636800000,2022-01-20 00:00:00,IDX/USD,0.30579,0.34182,0.30555,0.31723,48946.69953551918,154294.04386571
1642550400000,2022-01-19 00:00:00,IDX/USD,0.31396,0.34116,0.30333,0.30579,8371.614962808802,27377.00697475
1642464000000,2022-01-18 00:00:00,IDX/USD,0.38104,0.38838,0.29628,0.31097,10565.398747479025,33975.62063054
1642377600000,2022-01-17 00:00:00,IDX/USD,0.38188,0.39439,0.3668,0.38155,4491.495685166315,11771.70930459
1642291200000,2022-01-16 00:00:00,IDX/USD,0.40621,0.41127,0.37987,0.38162,55526.90892636459,145503.14167592
1642204800000,2022-01-15 00:00:00,IDX/USD,0.45458,0.4566,0.40417,0.4046,102719.88328258871,253880.08720363
1642118400000,2022-01-14 00:00:00,IDX/USD,0.46852,0.46852,0.44829,0.45547,31584.568385444156,69345.00271246
1642032000000,2022-01-13 00:00:00,IDX/USD,0.43506,0.49537,0.42454,0.46852,113468.49324245441,242184.95099986
1641945600000,2022-01-12 00:00:00,IDX/USD,0.42689,0.48748,0.41998,0.43506,60242.26069665611,138468.85647188
1641859200000,2022-01-11 00:00:00,IDX/USD,0.32272,0.455,0.32189,0.41997,85854.09108874707,204429.10467116
1641772800000,2022-01-10 00:00:00,IDX/USD,0.37763,0.37884,0.28965,0.32787,38273.12713534826,116732.62919861
1641686400000,2022-01-09 00:00:00,IDX/USD,0.36187,0.38188,0.36187,0.37763,21594.43208598408,57184.10106714
1641600000000,2022-01-08 00:00:00,IDX/USD,0.35475,0.39732,0.35255,0.36241,4665.7646982697015,12874.27140054
1641513600000,2022-01-07 00:00:00,IDX/USD,0.32225,0.42645,0.28555,0.35752,14698.850705786454,41113.36626143
1641427200000,2022-01-06 00:00:00,IDX/USD,0.3238,0.33478,0.2915,0.32213,22496.272298880423,69836.00502555
1641340800000,2022-01-05 00:00:00,IDX/USD,0.3791,0.40123,0.30922,0.3238,22878.087577598406,70654.99560716
1641254400000,2022-01-04 00:00:00,IDX/USD,0.32275,0.45746,0.30713,0.37001,25724.977452828727,69525.08703232
1641168000000,2022-01-03 00:00:00,IDX/USD,0.31563,0.32943,0.28125,0.32251,4218.757455830574,13081.01285489
1641081600000,2022-01-02 00:00:00,IDX/USD,0.22867,0.33208,0.22743,0.31103,15025.20460384604,48307.89507072
1640995200000,2022-01-01 00:00:00,IDX/USD,0.19751,0.22971,0.1975,0.22952,4479.100063601567,19515.07521611
1640908800000,2021-12-31 00:00:00,IDX/USD,0.211,0.22143,0.1975,0.21199,8085.05391605212,38138.84577599
1640822400000,2021-12-30 00:00:00,IDX/USD,0.2023,0.21741,0.1969,0.20689,1970.437671102832,9524.08367298
1640736000000,2021-12-29 00:00:00,IDX/USD,0.20841,0.22,0.20223,0.21561,2731.1029453859433,12666.86584753
1640649600000,2021-12-28 00:00:00,IDX/USD,0.2308,0.2308,0.20222,0.21826,4652.429710943145,21315.99794256
1640563200000,2021-12-27 00:00:00,IDX/USD,0.22634,0.23461,0.22142,0.23136,600.5147870033376,2595.58604341
1640476800000,2021-12-26 00:00:00,IDX/USD,0.22805,0.23212,0.22108,0.22654,320.47308133311896,1414.64236485
1640390400000,2021-12-25 00:00:00,IDX/USD,0.22922,0.23212,0.22159,0.22929,724.3409986731108,3159.06057252
1640304000000,2021-12-24 00:00:00,IDX/USD,0.24137,0.24143,0.22554,0.22563,8657.013559745117,38368.18490336
1640217600000,2021-12-23 00:00:00,IDX/USD,0.22914,0.24394,0.21334,0.23959,15786.967071446392,65891.59427124
1640131200000,2021-12-22 00:00:00,IDX/USD,0.24793,0.25122,0.22444,0.229,9342.76547253893,40798.102500169996
