https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume QTM
1649376000000,2022-04-08 00:00:00,QTM/USD,7.2474,7.337,6.7604,6.8094,15127.659144762372,2221.58474238
1649289600000,2022-04-07 00:00:00,QTM/USD,6.9332,7.286,6.8526,7.255,22708.72711820075,3130.07954765
1649203200000,2022-04-06 00:00:00,QTM/USD,7.8195,7.8196,6.89,6.89,80594.79536856929,11697.35781837
1649116800000,2022-04-05 00:00:00,QTM/USD,8.2719,8.3061,7.7842,7.8018,81704.27859923535,10472.49078408
1649030400000,2022-04-04 00:00:00,QTM/USD,8.5021,8.5021,7.9629,8.2566,37278.99406409667,4515.05390404
1648944000000,2022-04-03 00:00:00,QTM/USD,8.314,8.5596,8.1339,8.4798,30375.444656687505,3582.09446646
1648857600000,2022-04-02 00:00:00,QTM/USD,8.4351,9.3007,8.2928,8.3785,273463.8968106213,32638.76550822
1648771200000,2022-04-01 00:00:00,QTM/USD,8.2742,8.4966,7.8873,8.448,33392.60364844801,3952.72296975
1648684800000,2022-03-31 00:00:00,QTM/USD,8.8476,9.1453,8.1752,8.2306,116316.25309691325,14132.1717854
1648598400000,2022-03-30 00:00:00,QTM/USD,8.3424,9.6121,8.2533,8.8939,146509.14122055485,16472.99173822
1648512000000,2022-03-29 00:00:00,QTM/USD,8.1947,8.8791,8.1597,8.3214,67386.11836732706,8097.93044047
1648425600000,2022-03-28 00:00:00,QTM/USD,8.491,9.35,8.0913,8.1713,78336.46261593868,9586.78088137
1648339200000,2022-03-27 00:00:00,QTM/USD,8.2477,8.5111,8.0502,8.5011,74846.44912102613,8804.32521921
1648252800000,2022-03-26 00:00:00,QTM/USD,8.2794,8.3347,7.4,8.2629,224410.0250643055,27158.74875217
1648166400000,2022-03-25 00:00:00,QTM/USD,7.8625,8.8868,7.7381,8.2755,153544.83960802192,18554.14652988
1648080000000,2022-03-24 00:00:00,QTM/USD,7.8899,8.0294,7.5173,7.8848,65100.80616099738,8256.49428787
1647993600000,2022-03-23 00:00:00,QTM/USD,7.7329,8.313,7.6399,7.8976,101663.36752505996,12872.69139043
1647907200000,2022-03-22 00:00:00,QTM/USD,6.8479,7.6957,6.7931,7.5601,36873.79611517185,4877.42174246
1647820800000,2022-03-21 00:00:00,QTM/USD,6.9863,7.0003,6.6209,6.8598,18084.418568661582,2636.28947909
1647734400000,2022-03-20 00:00:00,QTM/USD,6.3613,7.3377,6.3613,6.9665,81235.87609977377,11660.93104138
1647648000000,2022-03-19 00:00:00,QTM/USD,6.1243,6.3689,6.1222,6.3471,18197.88807038179,2867.11853766
1647561600000,2022-03-18 00:00:00,QTM/USD,5.9459,6.1292,5.8399,6.1292,10057.19992603634,1640.8666589499999
1647475200000,2022-03-17 00:00:00,QTM/USD,6.0287,6.0411,5.9338,5.9438,6751.39109085657,1135.87117515
1647388800000,2022-03-16 00:00:00,QTM/USD,5.7337,6.0288,5.6888,5.9848,10011.57521124796,1672.83371395
1647302400000,2022-03-15 00:00:00,QTM/USD,5.7462,5.8273,5.5151,5.7232,9355.879621661777,1634.7287569300001
1647216000000,2022-03-14 00:00:00,QTM/USD,5.548,5.7745,5.5115,5.735,3983.8857563182005,694.66185812
1647129600000,2022-03-13 00:00:00,QTM/USD,5.7799,5.8825,5.5236,5.5724,3087.30005042238,554.03417745
1647043200000,2022-03-12 00:00:00,QTM/USD,5.8773,6.012,5.7948,5.8114,6480.691614648063,1115.16873983
1646956800000,2022-03-11 00:00:00,QTM/USD,6.0258,6.0258,5.7029,5.8898,18165.76266146943,3084.27496035
1646870400000,2022-03-10 00:00:00,QTM/USD,6.0466,6.2556,5.8068,5.9752,39882.17239760785,6674.61715049
1646784000000,2022-03-09 00:00:00,QTM/USD,5.7678,6.0977,5.7678,6.0441,7720.1435752169455,1277.30242306
1646697600000,2022-03-08 00:00:00,QTM/USD,5.7101,5.8706,5.655,5.6875,9176.17026655875,1613.39257434
1646611200000,2022-03-07 00:00:00,QTM/USD,5.7584,5.9451,5.1,5.7236,68038.98758767621,11887.44629039
1646524800000,2022-03-06 00:00:00,QTM/USD,6.0833,6.1398,5.7568,5.7735,5522.058058262445,956.44895787
1646438400000,2022-03-05 00:00:00,QTM/USD,5.8599,6.1046,5.7978,6.0834,20388.80431937533,3351.54754239
1646352000000,2022-03-04 00:00:00,QTM/USD,6.2129,6.3135,5.831,5.9125,6913.077164893624,1169.23081013
1646265600000,2022-03-03 00:00:00,QTM/USD,6.4747,6.669,6.2537,6.3817,29850.78802664296,4677.5605288
1646179200000,2022-03-02 00:00:00,QTM/USD,6.7091,6.7477,6.3798,6.4916,9276.785313072287,1429.04450568
1646092800000,2022-03-01 00:00:00,QTM/USD,6.5198,6.7899,6.5037,6.6708,13038.319684312992,1954.53614024
1646006400000,2022-02-28 00:00:00,QTM/USD,5.8692,6.5185,5.8148,6.4982,15285.275032444137,2352.23216159
1645920000000,2022-02-27 00:00:00,QTM/USD,6.1517,6.1899,5.7275,5.8957,8527.332831972075,1446.36477975
1645833600000,2022-02-26 00:00:00,QTM/USD,6.1473,6.3458,6.1036,6.1333,8706.431485023086,1419.53458742
1645747200000,2022-02-25 00:00:00,QTM/USD,5.8496,6.2299,5.8057,6.2255,18295.00182977623,2938.72007546
1645660800000,2022-02-24 00:00:00,QTM/USD,5.7576,5.8906,5.055,5.8827,35420.99530542981,6021.2139503
1645574400000,2022-02-23 00:00:00,QTM/USD,6.0142,6.6649,5.7447,5.7657,42609.439361612494,7390.15893328
1645488000000,2022-02-22 00:00:00,QTM/USD,5.773,6.0403,5.538,6.0153,20253.236212104723,3366.95363691
1645401600000,2022-02-21 00:00:00,QTM/USD,6.2345,6.5034,5.39,5.719,365032.2227588647,63827.98089856
1645315200000,2022-02-20 00:00:00,QTM/USD,6.7898,6.8499,6.0616,6.305,26239.5071090087,4161.69819334
1645228800000,2022-02-19 00:00:00,QTM/USD,7.1996,7.5548,6.25,6.7862,321428.7234239041,47365.0531113
1645142400000,2022-02-18 00:00:00,QTM/USD,7.0445,7.4477,6.9989,7.2283,46470.51917371164,6428.96935292
1645056000000,2022-02-17 00:00:00,QTM/USD,7.8823,7.9048,6.9391,7.0329,70886.48194686272,10079.26771984
1644969600000,2022-02-16 00:00:00,QTM/USD,7.5234,7.952,7.4007,7.952,38669.9377561784,4862.91973795
1644883200000,2022-02-15 00:00:00,QTM/USD,6.5378,8.0247,6.5092,7.5677,91740.22609224005,12122.6034452
1644796800000,2022-02-14 00:00:00,QTM/USD,6.5478,6.6506,6.3175,6.5862,11492.10044302437,1744.87571635
1644710400000,2022-02-13 00:00:00,QTM/USD,6.7375,6.8656,6.4083,6.5119,14146.09820730994,2172.34573739
1644624000000,2022-02-12 00:00:00,QTM/USD,6.553,6.8715,6.3479,6.7371,17768.0942308031,2637.35052631
1644537600000,2022-02-11 00:00:00,QTM/USD,7.104,7.3174,6.4839,6.5689,15350.914866739218,2336.90798562
1644451200000,2022-02-10 00:00:00,QTM/USD,7.2014,7.6882,7.12,7.239,31232.14758292179,4314.42845461
1644364800000,2022-02-09 00:00:00,QTM/USD,7.1172,7.2975,6.9444,7.2345,19781.828042851874,2734.37390875
1644278400000,2022-02-08 00:00:00,QTM/USD,7.49,7.5433,6.7377,7.1063,77713.0281215788,10935.79332727
1644192000000,2022-02-07 00:00:00,QTM/USD,7.1296,7.5636,7.0469,7.4712,40438.684908364245,5412.60907329
1644105600000,2022-02-06 00:00:00,QTM/USD,6.9102,7.1347,6.7624,7.1347,17610.26894706858,2468.2564014
1644019200000,2022-02-05 00:00:00,QTM/USD,6.8521,7.306,6.7247,6.9081,35674.28136583465,5164.12347329
1643932800000,2022-02-04 00:00:00,QTM/USD,6.0823,6.8898,6.0761,6.8641,53957.2403525212,7860.78879278
1643846400000,2022-02-03 00:00:00,QTM/USD,6.0639,6.1136,5.8744,6.0759,16012.694697945317,2635.4440820199998
1643760000000,2022-02-02 00:00:00,QTM/USD,6.1923,7.0265,6.0016,6.0418,156088.60502427648,25834.78516738
1643673600000,2022-02-01 00:00:00,QTM/USD,6.0639,6.2441,6.0539,6.1858,14393.344552334584,2326.83639179
1643587200000,2022-01-31 00:00:00,QTM/USD,5.9781,6.0833,5.6843,6.0801,16469.40542089947,2708.7392347
1643500800000,2022-01-30 00:00:00,QTM/USD,5.9661,6.1631,5.852,5.974,8511.8143234832,1424.8098968
1643414400000,2022-01-29 00:00:00,QTM/USD,5.8185,6.0772,5.8087,5.9394,19433.64336733719,3271.9876363500002
1643328000000,2022-01-28 00:00:00,QTM/USD,5.6221,5.8327,5.5627,5.8327,44125.24744607129,7565.1494927
1643241600000,2022-01-27 00:00:00,QTM/USD,5.5759,5.722,5.3896,5.6237,9754.341921333933,1734.50609409
1643155200000,2022-01-26 00:00:00,QTM/USD,5.5438,6.034,5.454,5.5994,33035.787950828984,5899.87997836
1643068800000,2022-01-25 00:00:00,QTM/USD,5.4535,5.5861,5.336,5.568,17071.596592536956,3066.01950297
1642982400000,2022-01-24 00:00:00,QTM/USD,5.801,5.8019,4.9511,5.4559,64461.35889796254,11814.98174416
1642896000000,2022-01-23 00:00:00,QTM/USD,5.5517,5.8552,5.5214,5.82,29554.9073058606,5078.16276733
1642809600000,2022-01-22 00:00:00,QTM/USD,6.1303,6.2538,5.055,5.5423,118269.30532279897,21339.39074442
1642723200000,2022-01-21 00:00:00,QTM/USD,7.0699,7.142,6.0097,6.1476,179538.81348239526,29204.69996135
1642636800000,2022-01-20 00:00:00,QTM/USD,7.4183,7.6511,7.0036,7.0559,15878.104626464246,2250.33016716
1642550400000,2022-01-19 00:00:00,QTM/USD,7.8589,7.8847,7.2959,7.4071,30425.058034060225,4107.55329806
1642464000000,2022-01-18 00:00:00,QTM/USD,7.7007,7.92,7.4921,7.8565,28637.995529871674,3645.13403295
1642377600000,2022-01-17 00:00:00,QTM/USD,8.0609,8.0609,7.573,7.6946,3013.115214606214,391.58828459
1642291200000,2022-01-16 00:00:00,QTM/USD,8.248,8.248,7.9343,8.0586,7874.552105286174,977.16130659
1642204800000,2022-01-15 00:00:00,QTM/USD,7.871,9.1954,7.763,8.2319,98667.70252992358,11986.0181161
1642118400000,2022-01-14 00:00:00,QTM/USD,7.574,7.9641,7.535,7.825,12819.0598722065,1638.21851402
1642032000000,2022-01-13 00:00:00,QTM/USD,7.9268,8.008,7.583,7.658,16288.734745638181,2127.02203521
1641945600000,2022-01-12 00:00:00,QTM/USD,7.5263,7.965,7.492,7.922,28250.716140236542,3566.1090810700002
1641859200000,2022-01-11 00:00:00,QTM/USD,7.2585,7.5735,7.1773,7.523,39498.3933316841,5250.3513667
1641772800000,2022-01-10 00:00:00,QTM/USD,7.659,7.769,6.876,7.254,101380.3463783214,13975.7852741
