https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BSV
1646697600000,2022-03-08 00:00:00,BSV/USD,76.356,80.251,76.105,78.675,154806.13047493272,1967.66610073
1646611200000,2022-03-07 00:00:00,BSV/USD,77.945,79.976,75.254,76.352,91664.65899649792,1200.55347596
1646524800000,2022-03-06 00:00:00,BSV/USD,81.438,82.67,77.724,77.765,630799.7749793305,8111.6154437
1646438400000,2022-03-05 00:00:00,BSV/USD,79.256,81.432,78.13,81.028,574795.387282343,7093.78717582
1646352000000,2022-03-04 00:00:00,BSV/USD,83.474,86.453,78.622,79.279,1586757.4704757174,20014.85223673
1646265600000,2022-03-03 00:00:00,BSV/USD,86.134,86.395,82.241,83.307,227082.689163321,2725.85363971
1646179200000,2022-03-02 00:00:00,BSV/USD,87.772,88.461,85.33,85.98,68987.1810249276,802.36311962
1646092800000,2022-03-01 00:00:00,BSV/USD,88.8,91.358,85.879,87.8,347755.441849998,3960.76813041
1646006400000,2022-02-28 00:00:00,BSV/USD,81.604,88.839,81.098,88.839,528429.964278586,5948.17551164
1645920000000,2022-02-27 00:00:00,BSV/USD,84.87,86.328,80.831,81.66,759597.286873845,9301.95061075
1645833600000,2022-02-26 00:00:00,BSV/USD,84.827,87.309,84.072,84.86,827908.55785676,9756.169666
1645747200000,2022-02-25 00:00:00,BSV/USD,82.148,85.811,81.689,84.89,755236.2513897994,8896.64567546
1645660800000,2022-02-24 00:00:00,BSV/USD,82.287,84.7,74.226,81.982,355616.4006881903,4337.73756054
1645574400000,2022-02-23 00:00:00,BSV/USD,83.69,86.21,82.229,82.312,281272.7402279238,3417.15351623
1645488000000,2022-02-22 00:00:00,BSV/USD,81.225,83.702,79.56,83.57,248748.23299806617,2976.52546366
1645401600000,2022-02-21 00:00:00,BSV/USD,84.458,87.0,80.977,81.071,834215.1792193105,10289.93325874
1645315200000,2022-02-20 00:00:00,BSV/USD,87.747,87.966,83.27,84.595,554226.9182201426,6551.53281187
1645228800000,2022-02-19 00:00:00,BSV/USD,87.236,88.688,85.931,87.631,591091.4077457456,6745.23179863
1645142400000,2022-02-18 00:00:00,BSV/USD,87.393,89.627,86.208,87.307,402143.0749472855,4606.08055422
1645056000000,2022-02-17 00:00:00,BSV/USD,94.673,95.055,86.805,87.54,367938.16829932446,4203.08622686
1644969600000,2022-02-16 00:00:00,BSV/USD,97.38,97.707,93.59,94.63,72960.9914283093,771.01333011
1644883200000,2022-02-15 00:00:00,BSV/USD,93.806,97.946,93.388,97.406,380109.185078059,3902.31797916
1644796800000,2022-02-14 00:00:00,BSV/USD,93.006,94.9,90.524,93.812,476751.02724239475,5081.98340556
1644710400000,2022-02-13 00:00:00,BSV/USD,94.288,95.502,92.675,92.909,152359.6123628768,1639.88001553
1644624000000,2022-02-12 00:00:00,BSV/USD,94.838,95.778,92.693,94.113,179261.47449659646,1904.74721342
1644537600000,2022-02-11 00:00:00,BSV/USD,98.672,100.95,93.27,94.795,395845.9049657662,4175.80995797
