https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume RBT
1653350400000,2022-05-24 00:00:00,RBT/USD,28998,29872,28637,29519,2370.42086407,0.08030153
1653264000000,2022-05-23 00:00:00,RBT/USD,30424,30794,28910,28963,1700.55733166,0.05871482
1653177600000,2022-05-22 00:00:00,RBT/USD,29305,30567,29136,30192,4821.12226512,0.15968211
1653091200000,2022-05-21 00:00:00,RBT/USD,29050,29757,28865,29586,23128.22147202,0.78172857
1653004800000,2022-05-20 00:00:00,RBT/USD,30167,30836,28662,29365,1697.0538577999998,0.05779172
1652918400000,2022-05-19 00:00:00,RBT/USD,28840,30628,28558,30184,1831.2699204799999,0.06067022
1652832000000,2022-05-18 00:00:00,RBT/USD,30377,30809,28526,28526,4695.11915762,0.16459087
1652745600000,2022-05-17 00:00:00,RBT/USD,29968,31001,29380,30377,9672.48060797,0.31841461
1652659200000,2022-05-16 00:00:00,RBT/USD,31153,31354,29085,30014,2535.9068712000003,0.0844908
1652572800000,2022-05-15 00:00:00,RBT/USD,30254,31564,29389,31178,1888.60641466,0.06057497
1652486400000,2022-05-14 00:00:00,RBT/USD,29189,30393,28376,30038,16994.37037044,0.56576238
1652400000000,2022-05-13 00:00:00,RBT/USD,28922,31106,28813,29451,4919.214077459999,0.16703046
1652313600000,2022-05-12 00:00:00,RBT/USD,29291,30258,26739,29214,64251.54680544,2.19934096
1652227200000,2022-05-11 00:00:00,RBT/USD,31210,32347,28156,28941,21496.13409933,0.74275713
1652140800000,2022-05-10 00:00:00,RBT/USD,30208,32790,29775,30901,8600.92995424,0.27833824
1652054400000,2022-05-09 00:00:00,RBT/USD,34255,34424,30019,30019,14002.32142397,0.46644863
1651968000000,2022-05-08 00:00:00,RBT/USD,35659,35671,33773,33953,5495.97754248,0.16187016
1651881600000,2022-05-07 00:00:00,RBT/USD,35866,36335,34739,35670,9093.4775883,0.25493349
