https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume WBT
1658016000000,2022-07-17 00:00:00,WBT/USD,21233,21706,20363,20774,1530.6858639799998,0.07368277
1657929600000,2022-07-16 00:00:00,WBT/USD,20808,21719,20485,21209,54898.20169055,2.58843895
1657843200000,2022-07-15 00:00:00,WBT/USD,20548,21284,20389,20822,1879.0895105799998,0.09024539
1657756800000,2022-07-14 00:00:00,WBT/USD,20241,20928,19606,20567,2501.0027309,0.12160270000000001
1657670400000,2022-07-13 00:00:00,WBT/USD,19294,20456,18864,20220,6617.3231706,0.32726623
1657584000000,2022-07-12 00:00:00,WBT/USD,19915,20023,19247,19278,11629.19729538,0.60323671
1657497600000,2022-07-11 00:00:00,WBT/USD,20564,21178,17148,19908,6808.52485152,0.34199944
1657411200000,2022-07-10 00:00:00,WBT/USD,21582,21610,20563,20867,4488.84581299,0.21511697
1657324800000,2022-07-09 00:00:00,WBT/USD,21635,21970,21276,21577,4327.07855125,0.20054125
1657238400000,2022-07-08 00:00:00,WBT/USD,21633,22389,21150,21585,35925.5961081,1.66437786
1657152000000,2022-07-07 00:00:00,WBT/USD,20569,21840,20257,21567,2601.4581247200003,0.12062216
1657065600000,2022-07-06 00:00:00,WBT/USD,20187,20651,19682,20531,21696.049456970002,1.05674587
1656979200000,2022-07-05 00:00:00,WBT/USD,20201,20707,19283,20186,37473.6416364,1.8564174
1656892800000,2022-07-04 00:00:00,WBT/USD,19255,20335,19041,20226,16075.971069120002,0.79481712
1656806400000,2022-07-03 00:00:00,WBT/USD,19223,19590,18676,19277,1374.02253614,0.07127782
1656720000000,2022-07-02 00:00:00,WBT/USD,19329,19476,18960,19212,2920.56462876,0.15201773
1656633600000,2022-07-01 00:00:00,WBT/USD,19934,20988,18926,19244,15828.81023412,0.82253223
1656547200000,2022-06-30 00:00:00,WBT/USD,20270,20285,18584,19934,23039.167619620002,1.15577243
1656460800000,2022-06-29 00:00:00,WBT/USD,20266,20600,19855,20086,2335.44180232,0.11627212
