https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume MLN
1653177600000,2022-05-22 00:00:00,MLN/USD,30.431,31.298,30.136,30.912,898.7118427929599,29.07323508
1653091200000,2022-05-21 00:00:00,MLN/USD,29.876,30.695,29.418,30.461,7583.5239766019195,248.95847072
1653004800000,2022-05-20 00:00:00,MLN/USD,31.33,32.295,29.561,29.855,12819.0223698215,429.3760633
1652918400000,2022-05-19 00:00:00,MLN/USD,29.251,33.108,29.115,31.367,3189.06384960366,101.66939298
1652832000000,2022-05-18 00:00:00,MLN/USD,31.143,32.066,29.269,29.269,2440.8267110736997,83.3928973
1652745600000,2022-05-17 00:00:00,MLN/USD,29.318,40.694,29.318,31.369,17641.35268756315,562.38173635
1652659200000,2022-05-16 00:00:00,MLN/USD,35.825,35.825,29.149,29.382,16361.468181902159,556.85345388
1652572800000,2022-05-15 00:00:00,MLN/USD,28.331,69.314,27.075,36.242,76494.79689939314,2110.66709617
1652486400000,2022-05-14 00:00:00,MLN/USD,25.669,29.164,25.646,28.32,4943.622044212801,174.56292529
1652400000000,2022-05-13 00:00:00,MLN/USD,23.27,27.53,23.002,25.683,658.71509428998,25.64790306
1652313600000,2022-05-12 00:00:00,MLN/USD,26.476,27.375,21.835,23.289,18705.428170801682,803.18726312
1652227200000,2022-05-11 00:00:00,MLN/USD,37.048,37.599,26.201,26.426,8794.97379525902,332.81517427
1652140800000,2022-05-10 00:00:00,MLN/USD,37.024,40.562,36.432,37.086,7576.4958592428,204.2953098
1652054400000,2022-05-09 00:00:00,MLN/USD,43.582,44.631,37.072,37.072,8798.97236140832,237.34819706
1651968000000,2022-05-08 00:00:00,MLN/USD,45.513,45.631,43.582,43.583,1364.99366341723,31.319405810000003
1651881600000,2022-05-07 00:00:00,MLN/USD,45.393,48.289,44.898,45.716,1922.7847942974001,42.059340150000004
1651795200000,2022-05-06 00:00:00,MLN/USD,45.357,46.306,44.144,45.479,2710.96823984329,59.60923151
1651708800000,2022-05-05 00:00:00,MLN/USD,50.506,50.874,44.474,45.309,4231.4349758627095,93.39060619
1651622400000,2022-05-04 00:00:00,MLN/USD,49.016,50.548,48.167,50.443,979.5538483136299,19.41902441
1651536000000,2022-05-03 00:00:00,MLN/USD,49.231,50.177,48.828,48.944,922.9786784321601,18.85785139
1651449600000,2022-05-02 00:00:00,MLN/USD,50.16,50.799,48.759,49.182,598.44915608772,12.16805246
1651363200000,2022-05-01 00:00:00,MLN/USD,49.414,52.703,48.985,50.114,11616.4127942793,231.79975245
1651276800000,2022-04-30 00:00:00,MLN/USD,49.591,52.048,49.342,49.484,2463.6770660821603,49.787346740000004
1651190400000,2022-04-29 00:00:00,MLN/USD,53.798,55.389,49.391,49.66,4468.4686276932,89.98124502
1651104000000,2022-04-28 00:00:00,MLN/USD,53.685,54.549,52.977,53.896,496.64149300007995,9.21481173
1651017600000,2022-04-27 00:00:00,MLN/USD,52.124,53.885,52.021,53.616,1823.82786297696,34.01648506
1650931200000,2022-04-26 00:00:00,MLN/USD,54.724,54.868,50.714,52.195,3745.7702697701,71.76492518
1650844800000,2022-04-25 00:00:00,MLN/USD,53.886,54.684,51.756,54.684,2887.29739434276,52.79967439
1650758400000,2022-04-24 00:00:00,MLN/USD,56.136,64.88,53.886,53.959,7412.329668479781,137.36966342
1650672000000,2022-04-23 00:00:00,MLN/USD,55.21,57.872,54.918,56.085,859.3057621632,15.32148992
1650585600000,2022-04-22 00:00:00,MLN/USD,57.078,57.371,54.981,55.145,520.0049743591,9.42977558
1650499200000,2022-04-21 00:00:00,MLN/USD,56.694,60.975,56.37,57.161,8013.82701620449,140.19746009
1650412800000,2022-04-20 00:00:00,MLN/USD,56.355,57.322,55.609,56.691,54076.52784701961,953.88205971
1650326400000,2022-04-19 00:00:00,MLN/USD,55.379,64.8,51.48,56.272,12065.4311786672,214.4126951
1650240000000,2022-04-18 00:00:00,MLN/USD,54.798,56.782,53.864,55.31,683.1841238477,12.35190967
1650153600000,2022-04-17 00:00:00,MLN/USD,55.054,57.456,54.465,54.75,2885.1036977625,52.69595795
1650067200000,2022-04-16 00:00:00,MLN/USD,54.42,55.177,53.741,55.004,3067.8122445425197,55.77434813
1649980800000,2022-04-15 00:00:00,MLN/USD,53.866,60.315,53.742,54.371,7370.624472459091,135.56168679
1649894400000,2022-04-14 00:00:00,MLN/USD,56.198,56.482,53.684,53.805,318.07984225455,5.91171531
1649808000000,2022-04-13 00:00:00,MLN/USD,54.7,56.549,54.161,56.13,1113.9311666109,19.84555793
1649721600000,2022-04-12 00:00:00,MLN/USD,52.215,55.153,52.043,54.683,2493.67539120645,45.60238815
1649635200000,2022-04-11 00:00:00,MLN/USD,56.666,56.808,51.791,52.159,990.56201018862,18.99120018
1649548800000,2022-04-10 00:00:00,MLN/USD,57.538,60.376,56.629,56.769,4020.8525852828097,70.82831449
1649462400000,2022-04-09 00:00:00,MLN/USD,56.025,57.592,56.012,57.592,452.30447418392,7.85359901
1649376000000,2022-04-08 00:00:00,MLN/USD,57.792,60.94,55.985,55.985,2174.1093434944,38.83378304
1649289600000,2022-04-07 00:00:00,MLN/USD,57.273,58.151,56.214,57.817,416.87647372219,7.21027507
1649203200000,2022-04-06 00:00:00,MLN/USD,60.723,60.723,56.916,57.285,3594.5881339545,62.7492037
1649116800000,2022-04-05 00:00:00,MLN/USD,61.656,64.218,60.466,60.723,2979.21380833323,49.06236201
1649030400000,2022-04-04 00:00:00,MLN/USD,63.629,63.703,59.81,61.597,2273.8650360422203,36.91519126
1648944000000,2022-04-03 00:00:00,MLN/USD,62.018,63.915,61.143,63.713,3105.86525430714,48.74774778
1648857600000,2022-04-02 00:00:00,MLN/USD,61.915,63.603,61.104,61.969,2037.6470457905102,32.88171579
1648771200000,2022-04-01 00:00:00,MLN/USD,59.924,72.623,58.466,61.834,37652.466607564784,608.92820467
1648684800000,2022-03-31 00:00:00,MLN/USD,61.493,63.339,59.408,59.686,693.50256370032,11.61918312
1648598400000,2022-03-30 00:00:00,MLN/USD,60.948,62.734,59.277,61.511,552.55802597282,8.98307662
1648512000000,2022-03-29 00:00:00,MLN/USD,60.644,62.945,60.454,60.997,2451.51865091918,40.19080694
