https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume PAX
1646265600000,2022-03-03 00:00:00,PAX/USD,1.0007,1.0007,1.0007,1.0007,3.253172918103,3.25089729
1646179200000,2022-03-02 00:00:00,PAX/USD,1.0008,1.0008,1.0002,1.0002,1054.6837435698,1054.472849
1646092800000,2022-03-01 00:00:00,PAX/USD,1.001,1.001,1.001,1.001,152.62424378200998,152.47177201
1646006400000,2022-02-28 00:00:00,PAX/USD,1.0009,1.001,1.0009,1.0009,18.039977300327998,18.02375592
1645660800000,2022-02-24 00:00:00,PAX/USD,1.0009,1.0015,1.0003,1.0003,10296.842406524072,10293.75428024
1645574400000,2022-02-23 00:00:00,PAX/USD,1.0009,1.0009,1.0009,1.0009,86.045729782434,85.96835826
1645488000000,2022-02-22 00:00:00,PAX/USD,1.0011,1.0011,1.001,1.0011,607.393302784719,606.72590429
1645401600000,2022-02-21 00:00:00,PAX/USD,1.0011,1.0013,1.0007,1.0007,16103.631834914522,16092.36717789
1645315200000,2022-02-20 00:00:00,PAX/USD,1.0007,1.0007,1.0007,1.0007,3.5258664200279997,3.52340004
1645142400000,2022-02-18 00:00:00,PAX/USD,1.0004,1.0006,1.0004,1.0006,4.78852139,4.78565
1645056000000,2022-02-17 00:00:00,PAX/USD,1.0003,1.0003,1.0003,1.0003,2.0006,2.0
1644969600000,2022-02-16 00:00:00,PAX/USD,1.0003,1.0003,1.0003,1.0003,2.0006,2.0
1644883200000,2022-02-15 00:00:00,PAX/USD,1.0003,1.0003,1.0003,1.0003,3.816342949517,3.81519839
1644796800000,2022-02-14 00:00:00,PAX/USD,1.0002,1.0005,1.0002,1.0005,10.08504,10.08
1644710400000,2022-02-13 00:00:00,PAX/USD,1.0005,1.0005,1.0004,1.0004,5.4365506007399995,5.43437685
1644624000000,2022-02-12 00:00:00,PAX/USD,1.0004,1.0004,1.0003,1.0003,19.281659493019,19.27587673
1644537600000,2022-02-11 00:00:00,PAX/USD,1.0003,1.0003,1.0003,1.0003,2.4845521421,2.483807
1644451200000,2022-02-10 00:00:00,PAX/USD,1.0006,1.0006,1.0006,1.0006,3.471101892288,3.46902048
1644364800000,2022-02-09 00:00:00,PAX/USD,1.0002,1.0005,1.0002,1.0005,120.91573314274498,120.85530548999999
1644278400000,2022-02-08 00:00:00,PAX/USD,1.0002,1.0002,1.0002,1.0002,176.30207061344998,176.26681725
1644192000000,2022-02-07 00:00:00,PAX/USD,1.0006,1.0006,1.0002,1.0002,218.559441727716,218.51573858
1644019200000,2022-02-05 00:00:00,PAX/USD,1.0003,1.0017,1.0001,1.0002,141251.75380550075,141223.50910368
1643932800000,2022-02-04 00:00:00,PAX/USD,1.0005,1.0006,1.0002,1.0002,294.50813979999003,294.44924995
1643846400000,2022-02-03 00:00:00,PAX/USD,1.0003,1.0003,1.0003,1.0003,40.137149723657004,40.12511219
1643760000000,2022-02-02 00:00:00,PAX/USD,1.0002,1.0003,1.0002,1.0003,8.124032668857,8.12159619
1643673600000,2022-02-01 00:00:00,PAX/USD,1.0004,1.0004,1.0002,1.0002,41.155336241364,41.14710682
1643500800000,2022-01-30 00:00:00,PAX/USD,1.0005,1.0005,1.0005,1.0005,2.3909105778599997,2.38971572
1643414400000,2022-01-29 00:00:00,PAX/USD,1.0004,1.0005,1.0003,1.0003,270.209175651163,270.12813721
1643328000000,2022-01-28 00:00:00,PAX/USD,1.0006,1.0007,1.0005,1.0005,1255.7114606193297,1255.0839186599999
1643241600000,2022-01-27 00:00:00,PAX/USD,1.0005,1.0005,1.0004,1.0004,182.269877519488,182.19699872
1643155200000,2022-01-26 00:00:00,PAX/USD,1.0005,1.0006,1.0003,1.0003,81.791807193103,81.76727701
1643068800000,2022-01-25 00:00:00,PAX/USD,1.0003,1.0003,1.0003,1.0003,8956.940011340565,8954.25373522
1642982400000,2022-01-24 00:00:00,PAX/USD,1.0005,1.0009,1.0005,1.0009,3006.632908484845,3003.92937205
1642896000000,2022-01-23 00:00:00,PAX/USD,1.0009,1.0009,1.0009,1.0009,3.4515693191299994,3.4484657
1642809600000,2022-01-22 00:00:00,PAX/USD,1.0004,1.0008,1.0001,1.0008,20172.47220841457,20156.34713071
1642723200000,2022-01-21 00:00:00,PAX/USD,1.0001,1.0005,1.0001,1.0005,10433.32842802542,10428.11437084
1642550400000,2022-01-19 00:00:00,PAX/USD,1.0002,1.0003,0.9999,1.0,3712.42299301,3712.42299301
1642464000000,2022-01-18 00:00:00,PAX/USD,1.0002,1.0002,1.0,1.0,11.92795615,11.92795615
1642377600000,2022-01-17 00:00:00,PAX/USD,1.0001,1.0001,1.0,1.0,96.06131095,96.06131095
1642204800000,2022-01-15 00:00:00,PAX/USD,1.0002,1.0002,1.0,1.0001,8.050407920296,8.04960296
1642118400000,2022-01-14 00:00:00,PAX/USD,0.99991,0.99991,0.99991,0.99991,141.2492647019548,141.26197828
1642032000000,2022-01-13 00:00:00,PAX/USD,1.0002,1.0002,0.99991,1.0002,228895.98281842517,228850.21277587
1641945600000,2022-01-12 00:00:00,PAX/USD,1.0002,1.0003,1.0001,1.0002,183404.67288945793,183367.9992896
1641859200000,2022-01-11 00:00:00,PAX/USD,1.0,1.0002,1.0,1.0002,10006.142945223359,10004.1421168
