https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XCH
1644192000000,2022-02-07 00:00:00,XCH/USD,1.0802,1.0833,1.0635,1.0741,18179.783511988626,16925.59678986
1644105600000,2022-02-06 00:00:00,XCH/USD,1.0672,1.0805,1.0631,1.0802,787.3340276226261,728.87801113
1644019200000,2022-02-05 00:00:00,XCH/USD,1.0729,1.0849,1.067,1.0804,19915.75996929282,18433.69119705
1643932800000,2022-02-04 00:00:00,XCH/USD,1.083,1.0895,1.0695,1.0803,75082.15723598507,69501.21006756
1643846400000,2022-02-03 00:00:00,XCH/USD,1.0852,1.0872,1.042,1.0832,13326.186096616575,12302.60902568
1643760000000,2022-02-02 00:00:00,XCH/USD,1.0845,1.0879,1.065,1.0879,2248.665224326961,2066.97786959
1643673600000,2022-02-01 00:00:00,XCH/USD,1.0425,1.0855,1.0407,1.0698,30485.724589668338,28496.65787032
1643587200000,2022-01-31 00:00:00,XCH/USD,1.0531,1.0789,0.95625,1.0789,12762.15075634202,11828.85416289
1643500800000,2022-01-30 00:00:00,XCH/USD,1.021,1.0562,1.0001,1.0166,2143.288922099884,2108.29128674
1643414400000,2022-01-29 00:00:00,XCH/USD,1.052,1.062,0.97174,1.0207,2204.797773279246,2160.08403378
1643328000000,2022-01-28 00:00:00,XCH/USD,1.0565,1.0565,0.92997,1.052,2251.05688811592,2139.78791646
1643241600000,2022-01-27 00:00:00,XCH/USD,1.064,1.064,0.92892,1.0565,2324.662444126105,2200.34306117
1643155200000,2022-01-26 00:00:00,XCH/USD,1.05,1.0673,0.919,1.064,2372.3461227849602,2229.64861164
1643068800000,2022-01-25 00:00:00,XCH/USD,1.0,1.0677,0.96,1.031,44546.99777198109,43207.56330939
1642982400000,2022-01-24 00:00:00,XCH/USD,1.0248,1.0248,0.9518,1.0,19402.38903576,19402.38903576
1642896000000,2022-01-23 00:00:00,XCH/USD,1.0235,1.0249,1.005,1.016,7439.71252092112,7322.55169382
1642809600000,2022-01-22 00:00:00,XCH/USD,1.0599,1.06,0.96342,1.0235,21832.711416191876,21331.42297625
1642723200000,2022-01-21 00:00:00,XCH/USD,1.0896,1.0896,1.015,1.0599,89772.4558453519,84698.98655095
1642636800000,2022-01-20 00:00:00,XCH/USD,1.0909,1.092,1.0467,1.0899,11956.416618612566,10970.19599836
1642550400000,2022-01-19 00:00:00,XCH/USD,1.0895,1.0915,1.0501,1.0915,20523.87517360495,18803.3670853
1642464000000,2022-01-18 00:00:00,XCH/USD,1.0849,1.09,1.0633,1.0895,22938.25869240659,21053.93179661
1642377600000,2022-01-17 00:00:00,XCH/USD,1.0897,1.0898,1.0709,1.0849,24736.035458434308,22800.2907719
1642291200000,2022-01-16 00:00:00,XCH/USD,1.0932,1.13,1.0801,1.0802,6248.035325010248,5784.14675524
1642204800000,2022-01-15 00:00:00,XCH/USD,1.0851,1.0932,1.069,1.0932,44815.079211287084,40994.40103484
1642118400000,2022-01-14 00:00:00,XCH/USD,1.092,1.0922,1.0793,1.0922,10870.504188079714,9952.85129837
1642032000000,2022-01-13 00:00:00,XCH/USD,1.0896,1.092,1.0751,1.092,1231.79395021956,1128.01643793
1641945600000,2022-01-12 00:00:00,XCH/USD,1.069,1.0897,1.0668,1.0801,30082.686294478288,27851.76029486
1641859200000,2022-01-11 00:00:00,XCH/USD,1.06,1.0699,1.0501,1.069,2901.06150123003,2713.80870087
1641772800000,2022-01-10 00:00:00,XCH/USD,1.0789,1.0799,1.0453,1.0501,1084.5444069148152,1032.80107315
1641686400000,2022-01-09 00:00:00,XCH/USD,1.062,1.0789,1.0453,1.0789,590.4201506591389,547.24270151
1641600000000,2022-01-08 00:00:00,XCH/USD,1.0796,1.0796,1.0451,1.062,4312.43133889968,4060.66981064
1641513600000,2022-01-07 00:00:00,XCH/USD,1.0749,1.085,1.0462,1.0796,85264.2517975908,78977.63226898
1641427200000,2022-01-06 00:00:00,XCH/USD,1.0849,1.0849,1.0448,1.0749,56440.99535655002,52508.13597223
1641340800000,2022-01-05 00:00:00,XCH/USD,1.0907,1.092,1.0532,1.0849,49216.88408286674,45365.36462611
1641254400000,2022-01-04 00:00:00,XCH/USD,1.0806,1.092,1.0753,1.0907,16944.57000040753,15535.5001379
1641168000000,2022-01-03 00:00:00,XCH/USD,1.0947,1.0947,1.0745,1.0801,1557.250398652851,1441.7650205099999
1641081600000,2022-01-02 00:00:00,XCH/USD,1.0949,1.0972,1.0851,1.0947,20199.857212014515,18452.41364028
1640995200000,2022-01-01 00:00:00,XCH/USD,1.0955,1.0955,1.0851,1.0851,500.00848381377,460.7948427
1640908800000,2021-12-31 00:00:00,XCH/USD,1.093,1.0955,1.0686,1.095,20660.47484573625,18868.01355775
1640822400000,2021-12-30 00:00:00,XCH/USD,1.0927,1.093,1.0729,1.093,1608.9514604595,1472.0507415
1640736000000,2021-12-29 00:00:00,XCH/USD,1.0897,1.0935,1.0722,1.09,16492.322297905903,15130.570915510001
1640649600000,2021-12-28 00:00:00,XCH/USD,1.0902,1.0909,1.08,1.0897,56908.50360282812,52224.00991358
1640563200000,2021-12-27 00:00:00,XCH/USD,1.0885,1.0904,1.0858,1.0903,736.121826522907,675.15530269
1640476800000,2021-12-26 00:00:00,XCH/USD,1.0863,1.0897,1.0849,1.0885,13564.748615021976,12461.87286635
1640390400000,2021-12-25 00:00:00,XCH/USD,1.0862,1.0871,1.085,1.0863,521.345152011663,479.92741601
1640304000000,2021-12-24 00:00:00,XCH/USD,1.0886,1.0903,1.0854,1.0854,1584.0309480115318,1459.39833058
1640217600000,2021-12-23 00:00:00,XCH/USD,1.087,1.0913,1.08,1.0883,22543.057712494487,20714.01057842
1640131200000,2021-12-22 00:00:00,XCH/USD,1.0826,1.0874,1.0774,1.087,554.80032122303,510.39587969
1640044800000,2021-12-21 00:00:00,XCH/USD,1.0844,1.0847,1.075,1.0786,57738.31532416376,53530.794849030004
1639958400000,2021-12-20 00:00:00,XCH/USD,1.0824,1.0844,1.0554,1.0751,25930.661459896306,24119.3018881
1639872000000,2021-12-19 00:00:00,XCH/USD,1.0753,1.0825,1.0687,1.0823,18335.100547019974,16940.86717825
1639785600000,2021-12-18 00:00:00,XCH/USD,1.0814,1.0816,1.0593,1.075,17148.539565121497,15952.129828019999
1639699200000,2021-12-17 00:00:00,XCH/USD,1.085,1.0892,1.0539,1.08,75624.04295094962,70022.26199162
1639612800000,2021-12-16 00:00:00,XCH/USD,1.0753,1.085,1.0727,1.08,1882.5866503812001,1743.13578739
1639526400000,2021-12-15 00:00:00,XCH/USD,1.08,1.0824,1.0363,1.0812,83299.56102162828,77043.6191469
1639440000000,2021-12-14 00:00:00,XCH/USD,1.0833,1.0835,1.0744,1.075,501.95944986475,466.93902313
1639353600000,2021-12-13 00:00:00,XCH/USD,1.0849,1.0851,1.0511,1.0837,77437.31381930983,71456.41212449
1639267200000,2021-12-12 00:00:00,XCH/USD,1.0856,1.0898,1.0776,1.085,18304.77715362345,16870.76235357
1639180800000,2021-12-11 00:00:00,XCH/USD,1.075,1.0862,1.0646,1.0856,19681.56188769648,18129.6627558
1639094400000,2021-12-10 00:00:00,XCH/USD,1.0826,1.0866,1.077,1.078,100705.89241078828,93419.19518626
1639008000000,2021-12-09 00:00:00,XCH/USD,1.0863,1.087,1.075,1.0829,57526.97270688841,53123.07018828
1638921600000,2021-12-08 00:00:00,XCH/USD,1.0821,1.0876,1.0807,1.0868,4778.445667919352,4396.80315414
